"","theta_1","theta_2","mu_1","mu_2","size_1","size_2","prob_1","prob_2","total_mean_1","total_mean_2","foldChange","norm_total_mean_1","norm_total_mean_2","norm_foldChange","chi2LR1","pvalue_LR2","pvalue_LR3","FDR_LR2","FDR_LR3","pvalue","pvalue.adj.FDR","Remark","Type","State"
"glb-17",0.997666464231,0.989178136816233,1.71468570720784,3.65022950546929,0.230884394154306,1.24735542765391,0.118671845333488,0.254687860381519,0.00298762270593257,0.0298304716366007,0.100153384845142,0.00400128040973111,0.0395022821125842,0.101292386053221,143.161991856041,0.414987764907316,2.07910074712103e-08,0.415189967813719,2.64612822360859e-08,0,0,NA,"DEa","down"
"col-187",0.460494788495654,0.994302225475802,0.000395545034996128,6.58962331549372,0.000157465214428131,1.1374783478659,0.284741945727169,0.14720633911931,0.000106700810926163,0.0311888719843512,0.00342111798655942,0.000213401621852326,0.0375461856118235,0.00568370976638236,116.516668114477,0.147249642747633,6.31799614847495e-08,0.149605442738813,7.90551620446997e-08,0,0,NA,"DEa","down"
"fax-1",0.95360529966395,0.949585680366224,6.81676027520552,4.63988290896257,1.30982968787616,1.1314653725776,0.161178267123922,0.196048707751121,0.263070849338455,0.185285807433167,1.41981111766127,0.316261203585147,0.233916539882634,1.35202582828828,49.9173228877589,0.125991450199745,1.4601875264475e-11,0.12876106731322,2.12090430627602e-11,8.31973379078477e-11,1.93254672479085e-10,NA,"DEa","up"
"Y41G9A.2",0.989248390634806,0.989599927676607,4.77352940749032,1.70321316533557,1.15268264756409,0.401658739139453,0.194505805201651,0.190823364730896,0.0433205292360222,0.0124429471853945,3.48153283868888,0.0513230900554844,0.0177135405346664,2.89739309626115,41.9471887939999,0.185240246595576,2.35675786591782e-05,0.187955842370078,2.69593843157916e-05,4.11700507019219e-09,9.10085439810829e-09,NA,"DEa","up"
"gcy-6",0.463990118872384,0.997801688014994,0.000199063343480501,2.79303817904722,7.92320342939695e-05,3.17161687087939,0.284704815895932,0.531735170656417,5.33504054630815e-05,0.00423820908498153,0.0125879597710584,0.000106700810926163,0.00613996957183221,0.0173780683565053,41.2052683784899,0.850717114311439,0.00202068880219064,0.850717114311439,0.00219473561165377,5.91543258821048e-09,1.30077424031734e-08,NA,"DEa","down"
"F14F9.5",0.972808807510685,0.97411590771939,3.41199992026746,4.97301802984463,1.16249963658883,0.796759210172865,0.254126079178752,0.138091849481948,0.0695155783183952,0.103401434470767,0.672288335980949,0.0927763551002988,0.128722016952836,0.720749699985605,36.7175131482654,0.571428350348776,1.41045948254259e-08,0.571567530753992,1.80482559461204e-08,5.28018072598613e-08,1.12470721162646e-07,NA,"DEa","down"
"srx-7",0.463989590860083,0.998133186618164,0.000199063180644107,1.92101477036555,7.92319547657305e-05,3.6215620165262,0.284704778073278,0.653407639762652,5.33504054630815e-05,0.00206476852858074,0.0258384437405935,0.000106700810926163,0.00358617691806129,0.0297533594588652,30.0847750154962,0.286567114397358,2.67564999423264e-06,0.286799906529282,3.16049932204661e-06,1.32453646106701e-06,2.68363122836068e-06,NA,"DEa","down"
"C25G6.4",0.999799135567939,0.998279850716513,1.59362425998662,2.30592142187616,19098.9674177275,5.33472477783092,0.999916566625636,0.698203350658408,0.000160051216389245,0.00244512062595088,0.0654573908095035,0.000320102432778489,0.00396652901543143,0.0807008927788399,23.658092464783,0.0886922366449134,0.00202126587437446,0.0909966984897846,0.00219516886215562,2.94410970806958e-05,5.63188368024862e-05,NA,"DEa","down"
"F11C7.2",0.463990249195388,0.998869909998239,0.000199063413315122,2.8848684052063,7.92320487617848e-05,7.6545033201458,0.284704781639195,0.726277003944471,5.33504054630815e-05,0.0022277765703108,0.0239478259059159,0.000106700810926163,0.00326016083460117,0.0327286954047517,19.8202891863673,0.0708745744071355,0.00430562724150085,0.0731302141286356,0.00463804560770224,0.000184938095582621,0.000340823109287518,NA,"DEa","down"
"ssq-2",0.99155494576053,0.992192975907232,4.32107089730207,6.59797430349691,1.53306916950102,1.05910769347678,0.261877774020911,0.138317402620916,0.0286491677336748,0.0427081069332754,0.67081333711266,0.0364916773367478,0.0515105411866985,0.708431254963614,16.5953740919667,0.0693797656342652,0.000296767872138504,0.0716358290826472,0.000328379754333246,0.000855907327713901,0.00151936411627684,NA,"DEa","down"
"sru-1",0.463989774030643,0.999006160981414,0.000199063202465341,2.07756838655968,7.92319848855322e-05,11262.9970579146,0.284704833165644,0.999815574378734,5.33504054630815e-05,0.00119539230602043,0.0446300391882978,0.000106700810926163,0.00206476852858074,0.051676887481187,15.4036888341914,0.0665940340191852,0.00113081631827083,0.0690023968979278,0.00123485703253826,0.00150223399083504,0.00262275875364707,NA,"DEa","down"
"C10C5.7",1,0.999391291525931,0,2.23160843590091,1,10948.7573706551,1,0.999796218547917,0,0.000815040208650293,0,0,0.00135840034775049,0,14.049628128291,0.0536378642305743,0.0483060954222709,0.055817086520878,0.0513930134371656,0.00283837278639931,0.00485810822393626,NA,"DEa","down"
