"","theta_1","theta_2","mu_1","mu_2","size_1","size_2","prob_1","prob_2","total_mean_1","total_mean_2","foldChange","norm_total_mean_1","norm_total_mean_2","norm_foldChange","chi2LR1","pvalue_LR2","pvalue_LR3","FDR_LR2","FDR_LR3","pvalue","pvalue.adj.FDR","Remark","Type","State"
"C08F1.10",0.151291582567036,0.766179622678955,6.5142078126654,3.08164624072268,2.73815898633532,2.99329213916775,0.295941465121233,0.492727983723473,4.6631455399061,0.512768963268855,9.09404795130146,5.52864916773367,0.720549880460769,7.67281949196671,17302.2378984466,0,0,0,0,0,0,NA,"DEg","up"
"htz-1",0.160101568267819,0.608972736705844,4.83787888474136,2.46384983141675,4.24043093664494,10137.1834736898,0.46709475883446,0.999757008330487,3.26461801109688,0.605846555096718,5.38852285885444,4.06332693128468,0.963431862638557,4.21755506420186,12791.4679000764,0,0,0,0,0,0,NA,"DEg","up"
"his-24",1.72445348379159e-09,3.75624362931572e-09,50.7849978899575,8.54537049728805,0.619841826145576,0.436050187032263,0.0120580441368715,0.0485502463762238,46.8256508749466,7.38975222777657,6.33656575100564,50.7849978659838,8.54537057161487,5.94298368226138,12342.5373831822,0,0,0,0,0,0,NA,"DEg","up"
"hmg-1.2",0.0575926438003237,0.344582058559344,5.74146598756337,3.06840012706171,6.01849424433637,39.4083485726297,0.511778452108263,0.92776282975999,4.48735595390525,1.39034992392958,3.22750113239301,5.41079812206573,2.01108454683764,2.69048764288603,12293.1575073886,0,0,0,0,0,0,NA,"DEg","up"
"sto-1",0.229935499814634,0.744285520212834,9.86285312217018,3.21301544155432,0.976973482077397,1.47190747498938,0.0901281466711442,0.314179656999624,6.67253521126761,0.605629211041078,11.0175253928018,7.59496372172428,0.821614866333406,9.24394632197697,12145.8476515753,0,0,0,0,0,0,NA,"DEg","up"
"ttr-16",0.700237610080339,7.57271130150505e-09,2.54362941677754,27.0472724150003,4.07233396487379,0.146329197348865,0.615531515208802,0.00538101570490074,0.502347417840376,24.8229732666812,0.0202371977137266,0.762483994878361,27.0472723321017,0.0281907907576095,12032.0067768637,0,0,0,0,0,0,NA,"DEg","down"
"pdi-2",0.00197781970342025,0.224443701733812,10.1221329684049,3.94632054561851,1.4773456090535,1.59199729336948,0.127363105090299,0.28745141388642,8.93427230046948,2.35508585090198,3.79360790480217,10.1021126760563,3.06058465550967,3.30071336464113,11691.540712109,0,0,0,0,0,0,NA,"DEg","up"
"hrp-1",0.0255415471487923,0.212124868500632,6.80965181932716,3.45640084519292,4.24391218990853,8.94669343889911,0.383940617375769,0.721327536014458,5.66789372599232,1.97652684199087,2.867602708741,6.63572343149808,2.72321234514236,2.43672640634683,11607.140148083,0,0,0,0,0,0,NA,"DEg","up"
"crt-1",0.0377726311458625,0.33006837610169,6.09547924282034,3.09600894227373,2.26043382493636,11.4244561709725,0.270519069143836,0.786783073536026,4.94558258642766,1.44544664203434,3.4214909375466,5.86523687580026,2.07411432297327,2.82782718909745,11367.0815434889,0,0,0,0,0,0,NA,"DEg","up"
"hil-2",5.19955399430238e-09,6.60914007592563e-08,26.5992851284488,4.5573245040228,0.581055620507024,0.37712837941713,0.0213777901415509,0.0764275976132585,24.282490396927,3.77227776570311,6.43708971213604,26.5992851045668,4.55732449467507,5.83660108812666,11130.1216026898,0,0,0,0,0,0,NA,"DEg","up"
"unc-44",0.479606030124387,0.196435841195629,2.35538000680047,5.37826210944712,11316.7655550052,0.683811354074964,0.999791911401926,0.112801561741165,0.759549722577892,3.61204086068246,0.210282704951013,1.2257255655143,4.32177787437514,0.283616049029711,10903.6582893054,0,0,0,0,0,0,NA,"DEg","down"
"hsp-12.2",0.789577587104037,0.397358936835151,2.504210205551,10.2712058959314,30.7394708985079,0.779433550471855,0.924671091696724,0.0705328912640926,0.336107554417414,5.45158661160617,0.0616531623476102,0.526941954758856,6.18985003260161,0.0851300034707596,10193.4432218196,0,0,0,0,0,0,NA,"DEg","down"
"clik-1",0.625311088451616,0.314203124951607,4.36074374198369,30.7634028475308,0.927759036260352,0.572478032950931,0.175429431573145,0.0182690901568851,1.30137644046095,19.2794501195392,0.0675007032042909,1.63390951771233,21.0974788089546,0.0774457238472893,10047.7304643657,0,0,0,0,0,0,NA,"DEg","down"
"sec-61",0.118115502499682,0.492215356734516,5.0889164816643,2.75626122482528,2.49683992543601,11.0256196535377,0.32914844498552,0.800008340722746,3.66880068288519,0.934959791349707,3.92401974590684,4.48783610755442,1.39958704629428,3.20654304384779,9906.64121679604,0,0,0,0,0,0,NA,"DEg","up"
"inx-3",0.338216248481462,0.825691859189161,3.22295010430049,2.24160664466315,15.1611866490738,10223.930373933,0.824688526443378,0.999780797091138,1.51536491677337,0.235057596174745,6.44678130566275,2.13289586000854,0.390730276026951,5.45874223440371,9832.68970712734,0,0,0,0,0,0,NA,"DEg","up"
"far-1",0.756988302811974,0.263676734490412,2.85465973417948,10.1523728595311,0.503538215293286,0.560236058510102,0.149942982179577,0.0522968833079122,0.525074690567648,6.55270593349272,0.0801309712196673,0.693715322236449,7.47544012171267,0.0927992614403437,9713.47745498191,0,0,0,0,0,0,NA,"DEg","down"
