"","theta_1","theta_2","mu_1","mu_2","size_1","size_2","prob_1","prob_2","total_mean_1","total_mean_2","foldChange","norm_total_mean_1","norm_total_mean_2","norm_foldChange","chi2LR1","pvalue_LR2","pvalue_LR3","FDR_LR2","FDR_LR3","pvalue","pvalue.adj.FDR","Remark","Type","State"
"C01G5.25",0.979994943721795,0.896963494439458,2.63484391520329,2.60509519203214,11.4913831181663,26.1284392633021,0.813478580729366,0.909336068763775,0.0344110115236876,0.173005868289502,0.198900834196591,0.0527102005975245,0.268419908715497,0.19637217242851,1114.23644601877,0,0.113911654282994,0,0.120909070454595,0,0,NA,"DEs","down"
"unc-129",0.930055115255283,0.821588685296649,2.99760428192789,2.87560601248888,9.75006535153926,12.5602577344805,0.764850802686468,0.813706180643538,0.144953051643192,0.348239513149315,0.416245274214591,0.20966709346991,0.513040643338405,0.408675406505002,951.107331201463,0,0.0655874170542525,0,0.0697064335842297,0,0,NA,"DEs","down"
"F32B4.5",0.991721859135002,0.948088525620983,3.53815832819481,3.17675072085984,2.30771116783942,3.34528772518056,0.394759268814493,0.512920577340589,0.021606914212548,0.116931101934362,0.184783294222925,0.0292893725992318,0.164909802216909,0.17760843931343,609.551318176862,6.66133814775094e-16,0.0677394952936942,9.56276928225257e-16,0.0719874563976807,0,0,NA,"DEs","down"
"Y102A11A.9",0.928718693585095,0.849684482351116,2.92942850055021,3.06245660414185,12.5146223771604,15.0207003743341,0.81031993977836,0.830645909462212,0.14265898420828,0.319061073679635,0.447121244102382,0.208813486982501,0.460334709845686,0.453612301041779,576.584985452086,0,0.177504003751123,0,0.188002865045894,0,0,NA,"DEs","down"
"C03C10.5",0.809910913090801,0.898578777132917,4.71816340989539,4.52003037703975,1.88694601066406,1.81984242470498,0.28567975040514,0.287047150883557,0.719430217669654,0.362584220821561,1.98417409351001,0.896873666239863,0.458432949358835,1.95639006204557,546.070014716504,0,0.3283828600053,0,0.344899985956121,0,0,NA,"DEs","up"
"hbl-1",0.667699114002846,0.583197417323578,2.70507852782121,2.72995055516228,12.9832007698322,15.8649782485089,0.8275732808871,0.853188437343019,0.597951344430218,0.757009345794392,0.789886343876954,0.898900981647461,1.13785046728972,0.789999220010499,262.422821913147,0,0.291835602146215,0,0.306854537717962,0,0,NA,"DEs","down"
"tmem-231",0.846153278437707,0.784998942712121,3.93105630387771,4.03550327140887,6.87887901367816,6.59056110302622,0.636347842202767,0.620225971798386,0.45758642765685,0.659693544881548,0.693634841824946,0.604780196329492,0.867637470115192,0.697042505839678,224.868078558116,0,0.225827553615803,0,0.238671653130883,0,0,NA,"DEs","down"
"F44E5.4",0.843291661529973,0.897375320575754,2.96526545652068,3.166722066665,2.64102872426759,3.08550851231869,0.471082793571181,0.49350523358661,0.327304737516005,0.232014779395784,1.41070641434299,0.46468203158344,0.324983699195827,1.42986258305662,187.324965869717,0,0.0703575253239873,0,0.0747632147655273,0,0,NA,"DEs","up"
"nhr-283",1,0.991616136330818,0,1.80820474164158,1,17770.1542414999,1,0.999898255201297,0,0.00815040208650293,0,0,0.0151597478808955,0,181.666588352145,0,0.658665672511941,0,0.689034651044164,0,0,NA,"DEs","down"
"ins-3",0.971490219152805,0.991023299375312,2.60110960146749,2.63305720399901,10.4379010604049,30.7696175482694,0.800513269839294,0.921172264690563,0.0483354673495519,0.0153227559226255,3.15448915284097,0.0741570635936833,0.0236361660508585,3.13744045604172,178.66650604546,0,0.379312878803431,0,0.398255894567775,0,0,NA,"DEs","up"
"fkb-7",0.792365169845531,0.847641470649348,2.86209309471561,2.89551108247932,2.56775173429472,2.19066411337333,0.472895969434679,0.43070952710391,0.414906103286385,0.307922190828081,1.34743813744179,0.594270166453265,0.441154096935449,1.34708069262297,177.600820809603,0,0.090041841409803,0,0.0955976806419142,0,0,NA,"DEs","up"
"C27A2.7",1,0.992182359657962,0,1.8835591886737,1,10181.9357759597,1,0.999815043931291,0,0.00809606607259292,0,0,0.0147250597696153,0,171.776743754322,0,0.631868017579695,0,0.661113713510135,0,0,NA,"DEs","down"
"sri-73",1,0.992935615622333,0,2.66896296713366,1,10156.2374719109,1,0.999737278516714,0,0.0122799391436644,0,0,0.0188545968267768,0,170.368849455413,0,0.743262285850746,0,0.776674415749041,0,0,NA,"DEs","down"
"ift-81",0.879432716288349,0.831107418900488,3.50721436848548,3.58845784675124,12.4227707406602,11.1875474327935,0.779835678159428,0.757142896279353,0.308151941954759,0.44397956965877,0.69406784233697,0.422855313700384,0.606063899152358,0.697707476541319,170.164916374932,0,0.276908330629525,0,0.292482050184821,0,0,NA,"DEs","down"
"mab-9",0.985293599414812,0.964883516387381,3.19600350869925,3.42264516558675,7.13181047420307,7.60825825906411,0.690544047947588,0.689722134821874,0.0333440034144259,0.0868832862421213,0.383779261312755,0.0470017072129748,0.120191262768963,0.391057603773774,159.390732494729,0,0.431067018940612,0,0.451402097182179,0,0,NA,"DEs","down"
"Y69H2.17",1,0.993075557397896,0,2.04806366275872,1,13041.4765194659,1,0.999842982343484,0,0.00815040208650293,0,0,0.0141816996305151,0,156.258856779665,0,0.717208005673553,0,0.750021443841624,0,0,NA,"DEs","down"
"nhr-167",1,0.993378491015385,0,1.92020045639021,1,15016.7686736053,1,0.999872145932811,0,0.00706368180830254,0,0,0.0127146272549446,0,146.388070164335,0,0.540573961573868,0,0.565690240940292,0,0,NA,"DEs","down"
