,ward_cluster0,ward_cluster1,ward_cluster2,ward_cluster3,ward_cluster4,ward_cluster5,ward_cluster6,ward_cluster7,ward_cluster8,ward_cluster9,ward_cluster10,ward_cluster11,ward_cluster12,ward_cluster13,ward_cluster14,ward_cluster15,leiden_cluster0,leiden_cluster1,leiden_cluster2,leiden_cluster3,leiden_cluster4,leiden_cluster5,leiden_cluster6,leiden_cluster7,leiden_cluster8,leiden_cluster9,leiden_cluster10,leiden_cluster11,leiden_cluster12,leiden_cluster13,leiden_cluster14,leiden_cluster15
ADE:390_510,0.12124549552520653,0.2855645023815083,0.0023779802343559136,0.06077920728606436,0.003509397337345242,0.08285482795741479,0.0,0.26074306820397863,7.393479441985576e-05,7.096922175294594e-05,0.007229963900799755,0.011724544930317734,4.704011816477683e-05,0.15789772394343038,0.005791456635095589,8.988753014530182e-05,0.38499769963596064,0.07882083104140583,0.032934831949689165,0.002011783140555771,0.006408602533192172,0.0020887857687689818,0.00031251000241643045,0.4899109683954831,0.00011340758922769023,0.00017987732141704876,6.616294881002307e-05,3.425747735913096e-05,0.0,0.0020738556443079875,4.6426551406105826e-05,0.0
ADEsh:390_510,0.10658842321494924,0.25273211694605263,0.0021272527708870205,0.03908809111865336,0.0037107042339165923,0.3189459967551488,0.0,0.11019404014171892,0.00012222776112818466,0.0001299817760244635,0.009777914810719395,0.05304276726916042,1.2345207926970239e-05,0.09673908984597468,0.006764969890956105,2.4078256783181624e-05,0.2580194368667087,0.08235080102034674,0.04235008275370372,0.003104564727353532,0.01067258529263346,0.003818648283393736,0.00018181124401537988,0.5972948282557119,2.683297260159647e-05,3.356672237994387e-05,0.0,6.856181592499174e-05,0.0,0.002078280045226312,0.0,0.0
ADF:390_510,0.11013271288358184,0.2718703858389681,0.0019264281241621016,0.02609156122967532,0.0007816991464272534,0.12658664074632994,2.0038351573997257e-05,0.2754461635609595,1.7190260994951962e-05,4.475570909928321e-05,0.027871516124057936,0.01925390605451164,3.4380521989903924e-05,0.13390145281100435,0.006006928183768569,1.4240452895226475e-05,0.3663352438596184,0.07406815562129672,0.05014622910772984,0.0017881940135577247,0.00556089685558594,0.009863649697878618,0.00012674003076751565,0.4899525467422522,1.159579735754156e-05,4.7095212074927554e-05,6.113222992879367e-05,4.312822876840021e-05,0.0,0.0019953926031832697,0.0,0.0
ADF:510_650,0.10550804070155502,0.2384244109483548,0.0049588116923364465,0.011946532921610131,0.0028045780533463953,0.08758793187691254,0.00011088346477923408,0.30586208386853936,8.880991923248424e-05,1.5162669137253408e-05,0.08792470816761412,0.05753108630828512,0.0001362577274170868,0.08803858290725715,0.008955051762980042,0.0001070670106426465,0.3265911029377103,0.07157243996124545,0.10076109378750374,0.003654512704305362,0.005831129331069454,0.04826865526619612,0.00028757497656233,0.43974680199194144,2.485852559236783e-05,0.00016359179082778164,0.00032109788451884256,4.734466077550553e-05,0.00023373202901371583,0.0024960641527373823,0.0,0.0
ADF_AWB_terminal_cells_but_undifferentiated,0.11626699834229785,0.3199703828209004,0.0018165973828018368,0.05096602623201097,0.0011954153807340695,0.13936450424484506,0.0,0.16038126338238567,0.00010484854556612332,4.390659596724506e-05,0.0037245569895447547,0.0051760096793256926,1.2979317052672908e-05,0.19511351021168047,0.005838664655413328,2.43362194737617e-05,0.3885070581120528,0.08939372798839648,0.020459865315249355,0.0012917462494843766,0.008512505369178422,0.0008521732852395555,0.00036707131039590566,0.489162675864676,1.57171417434711e-05,6.226016148704035e-05,1.1458303335562802e-05,1.57171417434711e-05,0.0,0.0013338276289910894,0.0,1.4196128026360993e-05
ADF:gt_650,0.12187840845228015,0.2378844660211613,0.0077187196861373784,0.016655461664576227,0.003956881926326345,0.08547678525373123,7.15302820860597e-05,0.21360981425054384,0.00019948179110558447,0.0003866016279954098,0.12240458393941248,0.06026188535861765,0.0001999044220189438,0.1161501747103367,0.01307514388205301,7.015673161764201e-05,0.3228499735274561,0.08207988928760594,0.11411172015747653,0.005123977193568023,0.008526473019295319,0.09035457994026748,0.00021892281312011185,0.37186533330839816,6.983975843262254e-05,0.0006617343525923071,9.984655328113208e-05,0.0,0.00014792081967575122,0.003821957007236392,6.783226159416592e-05,0.0
ADL:330_390,0.12324669785535786,0.3376840162103536,0.003102892547860444,0.06282189501937513,0.0010910581565343868,0.1125230826043265,0.0,0.12179606575956152,0.0001028365287484218,5.4906819184260606e-05,0.003811220850596624,0.0063410803518323825,2.275144441336765e-05,0.22235269754270245,0.005031810563991117,1.698774516198118e-05,0.3893054257037932,0.08962259095066863,0.016076473975077766,0.0009821545759424002,0.008026305118913205,0.0010916648617187435,0.0002619955221112693,0.4932543484077326,1.001063554188177e-05,5.1974410793204324e-05,1.5167629608911773e-05,0.0,5.96593431283863e-06,0.0012889451641653225,0.0,6.977109620099416e-06
ADL:390_510,0.13453170640648454,0.2870471997681481,0.0063858355190789355,0.036643168005416886,0.0029395067728282755,0.11940936026972795,1.6078350713120354e-05,0.1844151434198996,8.6762420829291e-05,5.248216364848721e-05,0.028099597596296686,0.05074944327446634,5.26844070536837e-05,0.139061149709265,0.010433029422168344,7.685249397466335e-05,0.36291456611609946,0.07997230074322427,0.04613566447171898,0.0025260201309040666,0.006286534007127463,0.011676522999018916,0.00022186101550054126,0.48793891116599997,2.750510310672161e-05,6.765041903822338e-05,6.542574158106208e-05,6.0875264964141234e-05,1.1224508988404778e-05,0.002088163158653682,6.775154074082164e-06,0.0
ADL:510_650,0.1369444130551601,0.2379707342572351,0.004945743057525854,0.015111806372467325,0.003066891151988541,0.09398070277129894,5.893959139010448e-06,0.20274670690276106,6.6865950232222e-05,2.286449665995433e-05,0.08902002157595526,0.08156589080485467,0.00013332542052382255,0.09833847259471593,0.03606005497234717,1.9612657134983047e-05,0.33825218096812143,0.07208840450932588,0.08548283313266775,0.002816194648610286,0.005953000350385709,0.06122665077601085,0.00026106174186410084,0.4304140892451098,1.270249814441907e-05,0.00014054043946985258,0.00015253159771818419,3.4855654908285925e-05,0.00013789831985581345,0.002998094422038367,1.1787918278020896e-05,1.7173777491254585e-05
ADL:gt_650,0.14177476264077984,0.21794340514102192,0.007269415278205077,0.012649445131701277,0.004110146906643871,0.08914496490900349,7.054905260290729e-05,0.17986777471622156,0.00014569913037556942,0.0002649168047741055,0.12983367089521328,0.0527960481079102,0.000580138151404197,0.08030833821297613,0.08294370318520793,0.00029702173595861687,0.3152028402844088,0.07766581609048029,0.10913171600141466,0.004225377025895286,0.007301315719382044,0.14026910271522852,0.0005788089663551567,0.33498019360909426,0.000313483181565962,0.00284997723514991,0.00013332748491911753,7.269619768212621e-05,7.964885793864459e-05,0.005309378555889522,0.0018863180745957047,0.0
AFD:270_330,0.13300722861050449,0.3831953796766667,0.0012446877467236323,0.05366717924513007,0.00224068266029752,0.061986306293519325,0.0,0.06630799429688908,0.0003124210089261252,2.579716555427861e-05,0.006169193310397307,0.0038171647813832967,4.404891509663384e-05,0.2829648264314699,0.0049247094938361605,9.23803636054404e-05,0.4532134754196348,0.10460240806853766,0.008710570995278099,0.0008941317974129217,0.009180528054723434,0.00032322930753779923,0.0012246006257189176,0.4206059601241078,0.00011073407822903785,5.037075013365073e-05,4.404891509663384e-05,0.0,5.230808667725268e-05,0.0009093245945180103,0.0,7.83091823940157e-05
AFD:330_390,0.12463128718267312,0.3519922439396882,0.0014901030921545641,0.05419592898344567,0.005963767769644602,0.10842551365597378,0.0,0.12153689568464925,0.00010442414709264669,1.809882977847236e-05,0.009708496993865716,0.01380971215743135,0.0,0.2035903807770092,0.004493390368372192,3.975641822125108e-05,0.4173229187108346,0.09458214580946,0.01856055329546136,0.0007997039112791298,0.010306266770650208,0.0008084482897114253,0.0003805838194428204,0.45535364401635403,3.030028805609417e-05,8.449509857253106e-05,3.131707624589599e-05,3.79261994796078e-05,1.1184670087819996e-05,0.0016905120443645024,0.0,0.0
AFD:390_510,0.1268488090902083,0.28954880146309964,0.0017015182024821955,0.038206307985909016,0.007206903879261647,0.11564195578642628,0.0,0.1898611662297734,7.871828682904385e-05,6.3627216297051e-05,0.029203056879876305,0.034302105285912564,2.100513871344953e-05,0.16335104970631556,0.0039470287109656214,1.794613792993746e-05,0.3722079990015421,0.07951688996692607,0.033426109428207486,0.0019800912071673608,0.007864996914487877,0.004809870865301593,0.00024380236244591182,0.4977971115691002,5.710134795889192e-06,9.798999176516988e-05,7.504748588882938e-05,2.100513871344953e-05,1.845597139385614e-05,0.0019083066554476114,2.6613306816554982e-05,0.0
AFD:510_650,0.14352880299022072,0.2470162907728793,0.002985414742022798,0.021617986859084046,0.01523651011533252,0.08357409942958419,0.0,0.18336138353812576,9.469426023469311e-05,0.0001105784587256739,0.13151566512892013,0.05856086514305301,0.00015181628173110474,0.10716264329761664,0.005005864425718513,7.738455675093201e-05,0.3333712449780223,0.07259648912375329,0.0679006720339645,0.002925441710540825,0.0073759701197862034,0.06289165113290482,0.00016372943059934035,0.4480080145963565,7.483901212096713e-05,0.00018093731229790292,0.00020181077826361482,4.510705084297746e-05,0.00014988166781233143,0.004071242259380612,4.2968793353806985e-05,0.0
AFD:gt_650,0.14837411133256956,0.22148923191545766,0.0053963289475749176,0.02005836068065296,0.01253261647975775,0.08010293550382808,8.363199937885171e-06,0.14355639192143796,0.0001116125818870848,0.0005586824057271191,0.22470297217800853,0.049524805044516985,0.00012235051760980158,0.08349509069838706,0.009895730514157142,7.041607848935416e-05,0.2834550712379436,0.06770505946751403,0.09688240556192028,0.004675235264041709,0.006687462468849661,0.1486522651675407,0.00030066220023606936,0.3849104951757759,0.0002030915342940757,0.0009855153507051103,0.00013856067057582593,4.099000463383226e-05,8.311575246910572e-05,0.0051543123962859965,0.0001119223300329324,1.3835417181192753e-05
AIA:510_650,0.1360699570174484,0.2643825620081985,0.002450735276881803,0.027273565705183155,0.008851287700578329,0.08282260994196827,0.0,0.1716279333050338,9.40700743235476e-05,8.751894836412753e-05,0.11323518859514475,0.032906715139539494,0.00011065261190832968,0.15067016483144718,0.009241796224565635,0.00017524261941448697,0.37655718472731897,0.07508665143598121,0.060192666567239664,0.002443877066893035,0.0065881807656280435,0.011569902612394543,0.0004083193976894793,0.4639366145807796,1.6787260271013936e-05,9.519604909782294e-05,3.173201636594098e-05,0.0,9.427479700977948e-05,0.002970730899910771,7.881823419927276e-06,0.0
AIB:330_390,0.17864898967496334,0.3462319456980997,0.0026174372539646412,0.05140283293661363,0.000927758998446932,0.09513365483201316,0.0,0.12634260193221247,7.517658035171359e-05,0.00010286781731619198,0.008234655952277537,0.01413186382434238,0.0,0.1682470329095993,0.007849542638197477,5.3638951601563706e-05,0.44659155230613135,0.10172098986531496,0.026533640699226296,0.0015552219160346315,0.008225015299408424,0.001157493705115197,0.0002631693112994503,0.4109421615184726,8.338139130415163e-05,0.0,0.0,0.0,1.7024982726308944e-05,0.0029103490049666803,0.0,0.0
AIB:390_510,0.18800633346381984,0.33352296413651,0.0023343039355361874,0.036933520258053694,0.0015679904844287994,0.08326996076897443,0.0,0.1375961107849803,0.00011418849445340149,6.86771016910045e-06,0.01440835343163589,0.0195943971375384,0.0,0.17551612123210006,0.0068281439582754825,0.0003007442035244883,0.4457750718316357,0.09193875355570567,0.03295322095094415,0.0032667749714810645,0.008420837698685674,0.0026779969534017666,0.0002740933879429045,0.410643864228855,0.00013069149948661304,6.426946680635795e-05,1.9783105412483386e-05,0.0003356977731911041,0.0,0.0034989445764514013,0.0,0.0
