,aat-5,act-1,act-3,alh-12,atn-1,cal-2,ccg-1,ceh-33,cpi-1,col-65,col-107,col-125,col-130,coq-1,cor-1,deb-1,dig-1,dim-1,dur-1,dyc-1,fbl-1,gei-15,grl-16,him-4,hum-7,inx-18,lec-2,lev-1,mdh-2,mec-5,mlc-1,mlc-2,mup-2,myo-3,oig-2,pfn-3,pqn-22,ketn-1,pqn-62,pvf-1,ram-2,snf-11,sup-9,sup-10,tag-18,cpna-1,tni-1,tni-3,tnt-2,tps-2,tsp-8,twk-8,twk-18,unc-22,unc-27,unc-49,unc-54,unc-87,unc-89,unc-93,unc-95,unc-96,gyg-1,zyx-1,scpl-1,B0379.1,B0513.5,C06A1.2,C13C4.7,ttr-5,C49A1.10,C51E3.9,D1086.8,F08G5.3,F09B9.4,F13D12.10,F13G3.12,F19C6.4,ncs-4,pyk-1,F35B12.10,F36F2.1,F40F8.5,F49E2.5,H01G02.3,endu-1,K08C7.6,K09A9.6,sodh-1,dlc-2,R31.2,aakg-5,T01G1.2,T02D1.8,aldo-1,T12D8.9,T21B6.3,W06A7.2,ttr-17,hum-9,Y17D7B.4,Y43F8B.1,ttr-24,ttr-25,Y53H1B.2,fbxa-220,lron-12,dbt-1,ZK809.8,ZK1058.9,ZK1321.4,R13H4.2,cpna-2,B0310.1,C18B2.3,pxl-1,acer-1,acs-17,C46G7.2,C54F6.5,CD4.1,EGAP4.1,F08D12.7,F08F3.10,F10G2.1,F21C10.7,F25B5.3,F35A5.1,F40A3.6,F41B4.1,F44B9.2,acs-16,F53A3.1,K02F3.9,K03E5.2,K07C11.8,zig-12,M02D8.6,M60.4,R05F9.6,R10H1.1,R11G1.6,T03G6.3,T05E7.4,T19D2.3,T23E7.2,tat-4,W08A12.2,Y4C6B.7,Y47D7A.13,Y53G8B.2,Y54G2A.11,cpg-9,pfk-1.1,Y97E10AR.1,cex-1,tag-243
ADF:510_650-390_510,0.0,0.0,45.50000000000003,0.7,5.0,1.5,18.3,49.6,28.6,0.0,0.0,12.0,4.5,16.0,7.1,20.8,0.0,41.7,0.0,16.9,176.2,16.0,0.0,0.0,0.0,36.5,7.1,20.5,9.4,8.5,0.0,26.1,32.6,0.0,16.7,9.5,0.0,0.0,0.0,8.7,0.0,8.700000000000001,3.9,0.0,5.9,0.0,3.8999999999999986,25.6,26.9,48.400000000000006,0.3,9.9,0.0,0.0,13.2,64.4,0.0,61.4,50.3,22.7,7.9,17.4,12.2,3.2,0.0,2.9,3.2,0.0,0.0,0.0,89.6,4.1,0.0,74.0,2.7,0.0,0.0,0.0,14.1,11.099999999999994,0.0,53.2,0.0,56.7,79.19999999999999,19.1,11.9,13.9,31.9,0.0,45.7,12.100000000000001,15.4,7.9,587.8000000000001,5.8,8.0,12.9,32.7,0.0,0.0,1.1000000000000014,1.7000000000000002,6.6,10.9,0.9000000000000004,14.5,9.7,4.0,0.0,12.5,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,0.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,1.7,0.0,47.3,0.0,0.1999999999999993,2.5,4.5,61.9,1.4000000000000004,0.0,0.0,5.5,0.0,0.0,0.0,2.9,5.3,7.4,53.2,0.0,8.1,21.3,0.0,0.0,50.8,9.7,0.0
ADL:390_510-330_390,7.9,55.5,55.5,1.9,6.9,3.1,5.4,11.1,6.8,15.9,0.0,0.0,0.0,2.5,1.5,3.3,2.4,9.299999999999997,5.5,0.0,24.5,2.6999999999999993,0.0,19.8,10.9,8.8,4.200000000000003,39.2,2.799999999999999,0.0,28.3,2.299999999999997,38.699999999999996,7.0,1.0,0.0,0.0,14.6,6.2,2.6,35.0,21.3,0.6,4.8,1.9,4.6,15.600000000000001,0.0,0.0,87.4,0.0,14.2,1.3,0.0,10.2,6.699999999999999,24.6,4.2,6.3,0.0,1.8,15.9,0.0,0.0,7.6,8.7,0.0,0.0,5.5,6.8,0.0,0.0,0.0,6.1,13.9,0.0,5.5,0.0,0.0,9.8,0.0,25.1,53.4,30.2,7.2,1.0,0.0,0.0,14.9,0.0,3.5,5.1,0.0,6.9,101.60000000000001,2.3,0.0,12.4,1.4,0.0,3.1,0.0,3.8,0.0,3.0,2.3,21.0,22.1,10.5,4.1,0.0,0.0,0.0,10.0,14.5,0.0,3.099999999999998,4.699999999999999,6.6,0.0,0.0,0.0,0.0,3.5,6.2,18.6,21.9,0.0,2.7,5.7,0.0,14.4,102.1,0.0,2.1,47.9,1.1999999999999993,20.7,13.3,5.3,0.0,9.6,8.5,0.0,1.8999999999999995,8.0,10.8,4.200000000000001,5.2,10.1,0.0,29.900000000000006,0.0,3.7,9.799999999999997,9.7,0.5
ADL:510_650-390_510,1.1000000000000014,7.099999999999994,70.5,0.0,3.1,3.1,5.4,3.6,0.0,0.9,0.0,0.0,0.0,22.7,26.299999999999997,61.199999999999996,19.1,54.3,4.4,7.4,18.9,11.7,0.0,3.0,5.0,5.7,47.8,56.6,33.7,0.0,32.6,38.2,38.9,27.2,3.6000000000000005,0.0,0.0,14.6,6.2,0.0,35.0,21.7,24.099999999999998,4.8,26.6,0.9000000000000004,24.4,9.3,0.0,23.30000000000001,30.7,0.0,1.3,0.0,0.0,2.8,26.8,0.0,13.0,0.0,10.6,4.700000000000001,0.0,8.2,0.0,0.0,0.0,0.0,2.9000000000000004,0.0,0.0,0.1,13.0,5.9,12.5,0.0,0.0,0.0,0.0,15.1,0.0,5.300000000000001,343.20000000000005,34.3,4.7,6.1,5.4,6.0,1.3000000000000007,0.0,63.3,6.2,0.0,1.6999999999999993,356.3,6.8999999999999995,38.2,3.3000000000000007,1.4,0.0,2.3,0.0,0.0,0.0,3.0,2.3,15.0,4.100000000000001,19.9,4.1,0.0,8.8,35.7,0.7,14.5,0.0,1.6999999999999993,0.6000000000000001,10.0,0.0,0.0,9.4,0.0,4.8,6.2,18.6,38.60000000000001,0.0,2.7,0.0,14.7,14.4,80.5,0.0,11.1,89.6,6.699999999999999,18.9,18.1,6.8,18.8,6.199999999999999,11.1,0.0,15.4,8.0,10.8,11.8,5.2,0.0,0.0,31.5,0.0,0.0,9.0,12.7,3.2
ADL:gt_650-510_650,10.2,29.099999999999994,173.5,1.8000000000000003,3.1,0.0,0.0,3.6,54.1,18.8,66.1,0.0,2.6,6.9,25.099999999999998,62.3,21.5,72.4,9.3,1.5,2.6999999999999997,11.0,0.0,15.4,7.199999999999999,358.3,295.7,0.0,1.6000000000000014,7.7,0.0,12.899999999999991,196.6,15.8,1.7999999999999998,43.8,9.8,13.3,8.0,3.0,0.0,4.3,20.0,0.0,23.200000000000003,1.0999999999999996,90.9,40.400000000000006,3.2,64.5,22.4,5.3,0.0,0.0,41.6,4.2,0.0,0.0,15.600000000000001,0.0,7.199999999999999,6.5,4.4,7.300000000000001,0.0,28.1,24.1,0.0,6.9,17.7,35.9,10.5,13.0,2.9000000000000004,19.400000000000002,43.8,0.0,0.0,0.0,33.3,0.0,13.9,121.90000000000003,174.5,7.700000000000001,0.0,5.4,5.300000000000001,20.900000000000002,0.0,0.5999999999999943,64.1,36.1,8.6,418.4,3.1999999999999993,38.2,4.1,0.0,0.0,1.9000000000000001,20.1,19.7,0.0,0.0,0.0,13.7,0.8000000000000007,173.79999999999998,0.0,0.0,5.799999999999999,35.7,2.4,22.6,3.9,9.099999999999998,23.8,10.0,0.0,0.0,9.4,0.0,4.2,0.0,12.2,15.5,12.9,7.4,5.2,14.7,0.0,34.5,12.9,1.6999999999999993,58.900000000000006,13.9,43.1,0.0,42.199999999999996,1.0,15.299999999999999,2.6999999999999993,0.0,10.9,57.0,32.7,9.8,0.0,0.0,6.3,17.4,0.0,33.4,37.2,15.7,14.400000000000002
AFD:330_390-270_330,0.0,31.700000000000003,266.9,0.0,7.4,0.0,0.0,0.0,0.0,21.3,3.0,2.4,0.0,76.5,23.5,0.0,0.0,10.799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,10.3,0.0,46.4,0.0,7.6,0.0,26.6,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,10.6,79.2,0.0,0.0,36.4,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,8.0,0.0,0.0,31.9,0.0,0.0,20.4,18.7,0.0,0.0,0.0,0.0,16.3,0.0,0.0,0.0,22.9,0.0,0.0,0.0,0.0,21.6,21.4,0.0,0.0,0.0,0.0,20.6,0.0,0.0,12.8,0.0,13.0,35.2,0.0,20.6,0.0,0.0,0.0,13.8,21.2,0.0,46.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,23.8,22.6,0.0,0.0,36.7,0.0,0.0,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.0,26.6,0.0,42.1,0.0,15.4,23.5,0.0,19.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,198.79999999999998,0.0,42.5,116.2,13.2,0.0
AFD:390_510-330_390,0.0,78.9,106.69999999999999,9.6,13.6,31.5,0.0,0.0,0.6,33.5,70.9,25.8,11.7,47.3,23.5,23.4,0.0,66.6,0.0,0.0,4.7,0.0,4.6,0.0,0.0,0.0,21.3,26.1,16.9,10.3,48.1,38.5,0.0,9.1,0.0,5.5,0.0,4.7,0.0,0.0,79.5,0.0,0.0,0.0,50.5,10.6,79.2,0.0,9.5,56.300000000000004,0.0,0.0,2.2,0.0,1.5999999999999996,0.0,44.2,0.0,7.699999999999999,0.0,1.6,27.5,0.0,34.7,20.4,18.7,0.0,0.0,11.2,0.0,16.3,0.0,0.0,0.0,22.9,6.4,0.0,0.0,0.0,0.0,10.899999999999999,0.0,0.0,18.8,14.1,20.6,10.3,5.8,7.699999999999999,0.0,5.2,35.2,0.0,20.6,47.3,2.7,12.8,2.5,11.1,0.0,46.3,0.0,0.0,0.0,0.0,9.1,0.0,12.1,0.0,0.0,0.0,0.0,0.0,2.2,0.0,12.7,0.6999999999999993,11.299999999999997,0.0,0.0,0.0,0.0,0.0,30.8,0.0,0.0,0.0,11.2,0.0,10.0,15.5,0.0,6.800000000000001,0.0,26.6,21.2,10.2,0.0,15.4,0.0,0.0,42.0,0.0,0.0,0.0,10.8,0.0,12.0,0.0,25.2,0.0,146.5,0.0,22.5,20.799999999999997,13.2,0.0
AFD:510_650-390_510,37.9,58.8,121.69999999999999,9.6,8.9,645.6,10.8,0.0,0.6,34.3,73.9,4.199999999999999,11.7,11.2,0.0,19.5,0.0,35.4,0.0,0.0,35.9,0.0,4.5,0.0,0.0,0.7,21.3,38.99999999999999,6.399999999999999,0.0,28.699999999999996,139.2,0.0,9.1,0.0,7.6,0.0,8.8,0.0,5.0,91.9,0.0,11.0,0.0,50.5,0.0,20.4,0.0,6.6,10.5,0.0,0.0,9.3,7.9,2.1999999999999993,0.0,44.2,0.0,1.0999999999999996,17.0,22.799999999999997,444.5,5.0,34.7,7.1,70.0,0.0,0.0,11.2,0.0,33.1,7.4,10.5,30.1,6.9,6.4,0.0,0.0,0.0,1.7,10.5,0.0,0.0,18.8,7.699999999999999,0.0,10.3,0.09999999999999964,9.2,0.0,7.8,0.0,248.2,32.6,200.10000000000002,2.7,12.8,4.0,5.4,0.0,0.0,4.4,1.0,0.0,5.4,0.5,2.1,4.799999999999999,5.5,0.0,0.0,0.0,1.6,13.700000000000001,47.3,7.799999999999999,6.600000000000001,33.9,33.1,8.0,0.0,0.0,0.0,0.0,0.0,2.6,91.5,9.2,0.0,10.0,15.5,6.6,27.5,7.3,0.0,37.7,25.599999999999998,13.3,4.8,0.0,0.0,3.0,10.2,3.7,2.9,5.9,41.4,12.0,0.0,17.7,7.1,103.79999999999998,0.0,20.0,52.30000000000001,0.0,6.3
AFD:gt_650-510_650,40.50000000000001,58.8,113.39999999999998,0.0,142.70000000000002,630.2,10.8,0.0,0.0,89.1,17.8,1.8000000000000043,0.0,40.4,70.4,44.5,0.0,60.8,0.0,5.8,40.6,0.0,0.1,0.0,39.2,0.7,8.7,58.39999999999999,10.5,0.0,76.8,79.1,120.9,37.9,0.0,33.8,38.0,13.5,0.0,10.3,0.0,0.0,3.0999999999999996,0.0,0.0,0.0,170.9,20.2,2.9,42.300000000000004,0.0,0.0,11.5,7.9,9.4,16.1,25.1,13.1,4.799999999999999,17.0,2.1000000000000014,155.89999999999998,52.1,0.0,7.1,70.0,101.7,27.1,0.0,12.2,11.8,1.3000000000000007,9.8,30.1,6.9,2.4,17.0,0.0,0.0,0.7999999999999999,23.7,0.0,5.0,23.4,39.800000000000004,0.0,6.6,110.6,10.700000000000001,0.0,15.2,0.0,231.5,12.700000000000003,611.0,13.2,0.0,12.3,23.700000000000003,0.0,8.8,3.1000000000000005,1.0,0.0,5.4,6.4,15.9,16.5,11.8,0.0,0.0,0.0,39.9,5.599999999999998,49.5,4.9,10.100000000000001,10.8,17.900000000000002,8.0,0.0,0.0,0.0,0.0,0.0,2.6,24.299999999999997,2.0,0.0,0.0,44.8,6.6,0.8,7.3,0.0,10.0,35.8,29.2,33.900000000000006,25.0,0.0,53.7,10.2,3.7,72.69999999999999,5.9,41.4,0.0,0.0,7.5,7.1,15.200000000000003,0.0,8.5,92.0,0.0,15.2
AIB:390_510-330_390,24.9,169.7,102.19999999999999,0.0,0.0,144.20000000000002,37.2,0.0,0.0,94.2,14.399999999999999,7.099999999999994,18.6,43.1,8.5,59.0,26.0,73.7,0.0,121.4,0.0,25.1,11.3,67.6,0.0,0.0,24.7,0.0,19.8,0.0,91.2,131.9,46.8,17.6,86.1,0.0,0.0,24.9,0.0,0.0,23.8,0.0,17.6,0.0,10.5,29.3,18.4,0.0,86.6,0.0,22.4,0.0,0.0,0.0,10.3,20.9,4.5,33.5,0.0,0.0,0.0,0.0,79.2,27.4,12.8,0.0,0.0,0.0,0.0,0.0,43.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,28.4,0.0,0.0,0.0,0.0,175.3,13.0,31.5,0.0,26.6,0.0,0.0,0.0,0.0,47.7,0.0,60.3,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,224.2,19.6,61.9,0.0,0.0,23.6,44.5,22.8,45.4,82.9,154.4,17.6,24.9,0.0,0.0,0.0,0.0,82.3,0.0,0.0,24.2,0.0,69.5,0.0,61.4,0.0,0.0,0.0,0.0,40.699999999999996,26.9,0.0,0.0,0.0,42.8,64.3,0.0,0.0,0.0,0.0,0.0,0.0,4.5,28.6,0.0,72.3,29.7,0.0,114.70000000000002,0.0,0.0
AIB:510_650-390_510,60.00000000000001,96.2,169.09999999999997,61.6,0.0,94.80000000000001,37.2,0.0,0.0,94.2,40.4,37.7,18.6,52.1,8.5,25.3,28.1,107.2,0.0,446.70000000000005,0.0,25.1,0.0,0.0,0.0,54.3,35.400000000000006,23.5,36.8,0.0,76.8,131.9,42.5,15.5,0.0,0.0,0.0,2.8000000000000007,0.0,0.0,0.0,0.0,17.6,0.0,25.200000000000003,23.400000000000002,174.79999999999998,22.5,59.3,50.2,22.4,0.0,0.0,0.0,9.7,20.9,51.8,16.800000000000004,0.0,0.0,0.0,0.0,0.0,26.6,31.8,57.1,65.2,0.0,0.0,0.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,28.4,0.0,0.0,0.0,29.9,37.69999999999999,58.3,31.5,0.0,20.799999999999997,0.0,0.0,0.0,0.0,31.0,50.4,0.0,0.0,0.0,2.1,0.0,0.0,0.0,37.9,0.0,0.0,0.0,446.90000000000003,19.6,61.9,0.0,49.0,33.3,8.3,28.8,45.4,16.5,28.1,17.6,24.9,0.0,0.0,0.0,0.0,0.0,22.0,1.5,24.2,0.0,52.0,0.0,61.4,0.0,0.0,0.0,158.1,32.3,8.100000000000001,0.0,0.0,0.0,3.1000000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,28.6,0.0,110.3,29.7,60.0,15.300000000000011,0.0,0.0
