,aat-5,act-1,act-3,alh-12,atn-1,cal-2,ccg-1,ceh-33,cpi-1,col-65,col-107,col-125,col-130,coq-1,cor-1,deb-1,dig-1,dim-1,dur-1,dyc-1,fbl-1,gei-15,grl-16,him-4,hum-7,inx-18,lec-2,lev-1,mdh-2,mec-5,mlc-1,mlc-2,mup-2,myo-3,oig-2,pfn-3,pqn-22,ketn-1,pqn-62,pvf-1,ram-2,snf-11,sup-9,sup-10,tag-18,cpna-1,tni-1,tni-3,tnt-2,tps-2,tsp-8,twk-8,twk-18,unc-22,unc-27,unc-49,unc-54,unc-87,unc-89,unc-93,unc-95,unc-96,gyg-1,zyx-1,scpl-1,B0379.1,B0513.5,C06A1.2,C13C4.7,ttr-5,C49A1.10,C51E3.9,D1086.8,F08G5.3,F09B9.4,F13D12.10,F13G3.12,F19C6.4,ncs-4,pyk-1,F35B12.10,F36F2.1,F40F8.5,F49E2.5,H01G02.3,endu-1,K08C7.6,K09A9.6,sodh-1,dlc-2,R31.2,aakg-5,T01G1.2,T02D1.8,aldo-1,T12D8.9,T21B6.3,W06A7.2,ttr-17,hum-9,Y17D7B.4,Y43F8B.1,ttr-24,ttr-25,Y53H1B.2,fbxa-220,lron-12,dbt-1,ZK809.8,ZK1058.9,ZK1321.4,R13H4.2,cpna-2,B0310.1,C18B2.3,pxl-1,acer-1,acs-17,C46G7.2,C54F6.5,CD4.1,EGAP4.1,F08D12.7,F08F3.10,F10G2.1,F21C10.7,F25B5.3,F35A5.1,F40A3.6,F41B4.1,F44B9.2,acs-16,F53A3.1,K02F3.9,K03E5.2,K07C11.8,zig-12,M02D8.6,M60.4,R05F9.6,R10H1.1,R11G1.6,T03G6.3,T05E7.4,T19D2.3,T23E7.2,tat-4,W08A12.2,Y4C6B.7,Y47D7A.13,Y53G8B.2,Y54G2A.11,cpg-9,pfk-1.1,Y97E10AR.1,cex-1,tag-243
ADF:510_650-390_510,0.0,0.0,0.09645961416154339,1.0,0.14285714285714285,0.08021390374331551,0.7120622568093385,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5621621621621622,0.0,0.6556603773584906,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.601317957166392,0.06489945155393052,0.4963680387409201,1.0,1.0,0.0,0.27974276527331193,1.0,0.0,0.18680089485458617,0.08384819064430715,0.0,0.0,0.0,1.0,0.0,0.28155339805825247,1.0,0.0,1.0,0.0,0.02336728579988016,0.3029585798816568,0.32254196642685845,0.1796585003711953,1.0,0.13846153846153847,0.0,0.0,0.4444444444444444,0.7045951859956237,0.0,0.4514705882352941,0.992110453648915,0.6467236467236467,1.0,0.22894736842105262,1.0,0.015303682448589193,0.0,0.06401766004415012,1.0,0.0,0.0,0.0,0.7750865051903114,1.0,0.0,0.5901116427432217,1.0,0.0,0.0,0.0,1.0,0.0552238805970149,0.0,1.0,0.0,0.44645669291338586,0.20608899297423883,0.4282511210762332,1.0,1.0,0.6405622489959839,0.0,0.37582236842105265,0.2149200710479574,0.6416666666666667,1.0,0.35465186436587426,1.0,0.5797101449275363,1.0,1.0,0.0,0.0,0.04313725490196084,0.4594594594594595,1.0,1.0,0.04433497536945814,0.25618374558303886,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.4351425942962281,0.0,0.004784688995215294,0.04215851602023609,0.06392045454545454,0.5363951473136914,0.06862745098039218,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.12939297124600638,0.26296296296296295,0.0,0.0,0.1481913652275379,1.0,0.0
ADL:390_510-330_390,0.10604026845637585,0.20299926847110464,0.057981613038027575,0.2533333333333333,0.6900000000000001,1.0,1.0,0.7551020408163266,0.1116584564860427,0.43561643835616437,0.0,0.0,0.0,0.03094059405940593,0.031645569620253174,0.04508196721311475,0.100418410041841,0.024024799793335046,0.34375,0.0,0.7424242424242424,0.08517350157728705,0.0,0.396,0.3879003558718861,0.0232006327445294,0.007761966364812424,0.5297297297297298,0.021244309559939292,0.0,0.7669376693766938,0.006256800870511417,0.16419176919813322,0.09067357512953368,0.04807692307692307,0.0,0.0,0.5232974910394266,0.4366197183098592,0.46428571428571436,1.0,0.6085714285714285,0.02,1.0,0.05956112852664577,0.2754491017964072,0.08275862068965519,0.0,0.0,0.2611293695847027,0.0,0.7282051282051282,1.0,0.0,0.1969111969111969,0.2690763052208835,0.8482758620689655,1.0,0.16890080428954424,0.0,0.11392405063291139,0.3549107142857143,0.0,0.0,1.0,0.23641304347826086,0.0,0.0,0.26960784313725494,0.27755102040816326,0.0,0.0,0.0,0.18484848484848485,0.3850415512465374,0.0,1.0,0.0,0.0,0.1824953445065177,0.0,0.49409448818897644,0.07368566303297916,0.07725761064210795,0.18604651162790697,0.08928571428571429,0.0,0.0,0.21104815864022658,0.0,0.023761031907671416,0.0625,0.0,0.44516129032258067,0.07044792677853283,0.13142857142857142,0.0,0.3961661341853035,1.0,0.0,0.46969696969696967,0.0,0.16170212765957445,0.0,1.0,1.0,0.33816425120772947,0.26918392204628505,0.04685408299866131,1.0,0.0,0.0,0.0,0.6329113924050632,0.3908355795148248,0.0,0.029245283018867904,0.10854503464203233,0.3975903614457831,0.0,0.0,0.0,0.0,0.3932584269662921,1.0,0.6038961038961039,0.11774193548387096,0.0,0.26732673267326734,0.5229357798165137,0.0,1.0,0.6286945812807881,0.0,0.07835820895522388,0.118976651763537,0.01716738197424892,0.18449197860962566,0.5807860262008734,0.07391910739191077,0.0,0.3028391167192429,0.30357142857142855,0.0,0.04822335025380709,0.12307692307692308,0.24827586206896554,0.1438356164383562,1.0,1.0,0.0,0.22947045280122796,0.0,0.09973045822102426,0.03391003460207612,0.2512953367875647,0.02242152466367713
ADL:510_650-390_510,0.014765100671140959,0.025969275786393544,0.07365231926452152,0.0,0.31,1.0,1.0,0.2448979591836735,0.0,0.024657534246575342,0.0,0.0,0.0,0.28094059405940586,0.5548523206751055,0.8360655737704917,0.7991631799163181,0.1402738310514079,0.275,0.4539877300613497,0.5727272727272726,0.36908517350157727,0.0,0.06,0.1779359430604982,0.015027682573161087,0.0883385695804842,0.7648648648648649,0.255690440060698,0.0,0.8834688346883469,0.10391730141458107,0.16504030547305898,0.35233160621761656,0.1730769230769231,0.0,0.0,0.5232974910394266,0.4366197183098592,0.0,1.0,0.62,0.8033333333333332,1.0,0.8338557993730409,0.0538922155688623,0.12944297082228115,0.1576271186440678,0.0,0.06961458022109353,0.7871794871794872,0.0,1.0,0.0,0.0,0.11244979919678715,0.9241379310344828,0.0,0.3485254691689008,0.0,0.670886075949367,0.10491071428571432,0.0,0.3459915611814346,0.0,0.0,0.0,0.0,0.14215686274509806,0.0,0.0,0.009345794392523366,1.0,0.1787878787878788,0.3462603878116343,0.0,0.0,0.0,0.0,0.2811918063314711,0.0,0.10433070866141735,0.47357527252656273,0.08774622665643386,0.1214470284237726,0.5446428571428571,1.0,0.3468208092485549,0.018413597733711054,0.0,0.4297352342158859,0.07598039215686275,0.0,0.10967741935483867,0.2470531132991264,0.39428571428571424,1.0,0.10543130990415336,1.0,0.0,0.34848484848484845,0.0,0.0,0.0,1.0,1.0,0.24154589371980675,0.049939098660170544,0.08879964301651048,1.0,0.0,0.3760683760683761,1.0,0.044303797468354424,0.3908355795148248,0.0,0.016037735849056597,0.013856812933025407,0.6024096385542168,0.0,0.0,1.0,0.0,0.5393258426966292,1.0,0.6038961038961039,0.20752688172043016,0.0,0.26732673267326734,0.0,1.0,1.0,0.49568965517241376,0.0,0.4141791044776119,0.2225534028812717,0.09585121602288985,0.16844919786096255,0.7903930131004367,0.09483960948396097,0.48704663212435234,0.19558359621451102,0.3964285714285714,0.0,0.39086294416243655,0.12307692307692308,0.24827586206896554,0.40410958904109595,1.0,0.0,0.0,0.24174980813507288,0.0,0.0,0.031141868512110725,0.3290155440414507,0.14349775784753363
ADL:gt_650-510_650,0.13691275167785233,0.10643745427944402,0.18125783535311324,0.24000000000000005,0.31,0.0,0.0,0.2448979591836735,0.8883415435139573,0.5150684931506849,1.0,0.0,1.0,0.08539603960396037,0.529535864978903,0.8510928961748633,0.8995815899581591,0.18703177473521054,0.58125,0.09202453987730061,0.0818181818181818,0.3470031545741325,0.0,0.308,0.2562277580071174,0.9446348536778276,0.5464793938273886,0.0,0.012139605462822467,1.0,0.0,0.03509249183895536,0.8341111582520153,0.20466321243523317,0.08653846153846152,1.0,1.0,0.47670250896057353,0.5633802816901409,0.5357142857142857,0.0,0.12285714285714285,0.6666666666666666,0.0,0.7272727272727274,0.06586826347305387,0.48222811671087534,0.6847457627118645,1.0,0.19270988945324166,0.5743589743589743,0.2717948717948718,0.0,0.0,0.8030888030888031,0.16867469879518074,0.0,0.0,0.418230563002681,0.0,0.4556962025316455,0.14508928571428573,1.0,0.3080168776371308,0.0,0.7635869565217392,1.0,0.0,0.3382352941176471,0.7224489795918367,1.0,0.9813084112149534,1.0,0.08787878787878789,0.5373961218836566,1.0,0.0,0.0,0.0,0.6201117318435754,0.0,0.2736220472440945,0.16820753415206297,0.4464057303658225,0.19896640826873385,0.0,1.0,0.3063583815028902,0.2960339943342776,0.0,0.004073319755600776,0.7855392156862745,1.0,0.5548387096774193,0.2901123283871863,0.18285714285714283,1.0,0.13099041533546324,0.0,0.0,0.2878787878787879,1.0,0.8382978723404255,0.0,0.0,0.0,0.22061191626409016,0.00974421437271621,0.7755466309683177,0.0,0.0,0.24786324786324784,1.0,0.15189873417721517,0.6091644204851752,1.0,0.08584905660377357,0.5496535796766744,0.6024096385542168,0.0,0.0,1.0,0.0,0.47191011235955055,0.0,0.39610389610389607,0.08333333333333333,1.0,0.7326732673267328,0.47706422018348627,1.0,0.0,0.2124384236453202,1.0,0.0634328358208955,0.1462990561351217,0.19885550786838344,0.3841354723707665,0.0,0.5885634588563461,0.025906735751295335,0.48264984227129337,0.0964285714285714,0.0,0.2766497461928934,0.8769230769230769,0.7517241379310345,0.3356164383561644,0.0,0.0,1.0,0.13353798925556407,0.0,0.9002695417789757,0.128719723183391,0.40673575129533673,0.6457399103139014
AFD:330_390-270_330,0.0,0.17144402379664683,0.1874956094134176,0.0,0.03789042498719918,0.0,0.0,0.0,0.0,0.12893462469733658,0.03167898627243928,0.024691358024691357,0.0,0.5236139630390144,0.2502662406815761,0.0,0.0,0.04163454124903623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41201716738197425,1.0,0.0,0.10851262862488306,0.0,0.13919413919413917,0.0,0.2888165038002172,0.0,0.0,0.0,0.0,0.11888782358581017,0.0,0.0,0.0,0.0,1.0,0.2722585080783775,0.0,0.0,0.12414733969986358,0.0,0.0,0.0,0.0,0.3225806451612903,0.0,0.0,0.0,0.1663201663201663,0.0,0.0,0.033821034775233245,0.0,0.0,0.7418181818181818,0.21082299887260428,0.0,0.0,0.0,0.0,0.23055162659123055,0.0,0.0,0.0,0.7684563758389261,0.0,0.0,0.0,0.0,0.8925619834710745,0.3848920863309352,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2831858407079646,0.0,0.3611111111111111,1.0,0.0,0.2818057455540356,0.0,0.0,0.0,0.3254716981132075,0.24651162790697673,0.0,0.8402903811252268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12686567164179105,0.0,0.0,0.19734660033167498,0.3358098068350669,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.424901185770751,0.0,1.0,0.0,0.4778660612939842,0.0,0.2614601018675721,0.4845360824742268,0.0,0.11677934849416104,0.0,0.0,0.0,0.6467065868263471,0.0,0.0,0.0,0.0,0.0,0.2771117925843323,0.0,0.5985915492957746,0.16054158607350097,1.0,0.0
AFD:390_510-330_390,0.0,0.4267171444023797,0.07495609413417632,1.0,0.06963645673323092,0.04169424222369292,0.0,0.0,1.0,0.20278450363196127,0.7486800422386484,0.2654320987654321,1.0,0.32375085557837097,0.2502662406815761,0.30911492734478213,0.0,0.25674633770239014,0.0,0.0,0.10375275938189847,0.0,0.9787234042553195,0.0,0.0,0.0,0.7100000000000001,0.2665985699693565,0.36266094420600853,1.0,0.3851080864691753,0.09003741814780168,0.0,0.16666666666666666,0.0,0.059717698154180245,0.0,0.25824175824175827,0.0,0.0,0.7622243528283797,0.0,0.0,0.0,1.0,1.0,0.2722585080783775,0.0,0.7661290322580645,0.19201909959072308,0.0,0.0,0.16058394160583944,0.0,0.05161290322580644,0.0,0.6378066378066377,0.0,0.16008316008316006,0.0,0.030476190476190476,0.02915606446140797,0.0,1.0,0.7418181818181818,0.21082299887260428,0.0,0.0,1.0,0.0,0.23055162659123055,0.0,0.0,0.0,0.7684563758389261,0.7272727272727273,0.0,0.0,0.0,0.0,0.19604316546762587,0.0,0.0,0.44549763033175355,0.2113943028485757,1.0,0.6094674556213019,0.04538341158059468,0.17035398230088494,0.0,0.14444444444444446,1.0,0.0,0.2818057455540356,0.04101985950914925,0.169811320754717,1.0,0.058962264150943376,0.12906976744186047,0.0,0.8402903811252268,0.0,0.0,0.0,0.0,0.2622478386167147,0.0,0.41156462585034015,0.0,0.0,0.0,0.0,0.0,0.041044776119402986,0.0,0.721590909090909,0.005804311774461023,0.1679049034175334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8484848484848485,0.0,1.0,0.2570480928689884,0.0,0.13438735177865613,0.0,1.0,0.16434108527131783,0.11577752553916004,0.0,0.2614601018675721,0.0,0.0,0.2581438229870928,0.0,0.0,0.0,0.6467065868263471,0.0,1.0,0.0,0.7706422018348623,0.0,0.20420964594368554,0.0,0.31690140845070425,0.028737220226581928,1.0,0.0
AFD:510_650-390_510,0.32588134135855545,0.3180097349918875,0.08549350193185809,1.0,0.045570916538658475,0.8545334215751158,1.0,0.0,1.0,0.2076271186440678,0.7803590285110876,0.04320987654320987,1.0,0.07665982203969883,0.0,0.25759577278731843,0.0,0.13646877409406322,0.0,0.0,0.7924944812362031,0.0,0.9574468085106386,0.0,0.0,1.0,0.7100000000000001,0.39836567926455557,0.1373390557939914,0.0,0.22978382706164927,0.32553788587464916,0.0,0.16666666666666666,0.0,0.08251900108577633,0.0,0.4835164835164836,0.0,0.24630541871921183,0.8811121764141899,0.0,0.43824701195219123,0.0,1.0,0.0,0.07012719147473359,0.0,0.532258064516129,0.03581173260572988,0.0,0.0,0.6788321167883212,1.0,0.07096774193548384,0.0,0.6378066378066377,0.0,0.02286902286902286,1.0,0.4342857142857142,0.4712680237489398,0.08051529790660225,1.0,0.2581818181818182,0.7891770011273956,0.0,0.0,1.0,0.0,0.4681753889674682,0.5481481481481482,0.3409090909090909,1.0,0.23154362416107382,0.7272727272727273,0.0,0.0,0.0,0.07024793388429752,0.18884892086330934,0.0,0.0,0.44549763033175355,0.1154422788605697,0.0,0.6094674556213019,0.0007824726134585262,0.20353982300884954,0.0,0.21666666666666667,0.0,0.3409809039703256,0.4459644322845418,0.17353221750065045,0.169811320754717,1.0,0.0943396226415094,0.06279069767441861,0.0,0.0,0.7719298245614036,1.0,0.0,1.0,0.01440922190201729,0.1044776119402985,0.16326530612244894,0.2412280701754386,0.0,0.0,0.0,0.037122969837587005,0.2555970149253731,0.3282442748091603,0.44318181818181807,0.054726368159203995,0.5037147102526003,0.6853002070393376,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.44138929088277856,0.6969696969696969,0.0,1.0,0.2570480928689884,1.0,0.5434782608695652,1.0,0.0,0.2922480620155039,0.2905788876276958,0.23835125448028677,0.08149405772495753,0.0,0.0,0.01843884449907806,1.0,1.0,0.03694267515923567,0.3532934131736526,1.0,1.0,0.0,0.5412844036697247,1.0,0.14468915528296625,0.0,0.28169014084507044,0.07225752970433824,0.0,0.2266187050359712
AFD:gt_650-510_650,0.34823731728288915,0.3180097349918875,0.07966280295047416,0.0,0.7306707629288275,0.8341495698213105,1.0,0.0,0.0,0.5393462469733656,0.1879619852164731,0.018518518518518563,0.0,0.27652292950034224,0.7497337593184239,0.5878467635402909,0.0,0.23438704703161142,0.0,1.0,0.8962472406181017,0.0,0.02127659574468086,0.0,1.0,1.0,0.29,0.5965270684371807,0.22532188841201717,0.0,0.6148919135308246,0.18498596819457436,1.0,0.6941391941391941,0.0,0.36699239956568946,1.0,0.7417582417582418,0.0,0.5073891625615764,0.0,0.0,0.1235059760956175,0.0,0.0,0.0,0.5874871089721554,1.0,0.23387096774193547,0.14427012278308324,0.0,0.0,0.8394160583941607,1.0,0.3032258064516129,1.0,0.3621933621933622,1.0,0.09979209979209977,1.0,0.04000000000000003,0.16528837998303644,0.8389694041867954,0.0,0.2581818181818182,0.7891770011273956,1.0,1.0,0.0,1.0,0.1669024045261669,0.09629629629629635,0.3181818181818182,1.0,0.23154362416107382,0.2727272727272727,1.0,0.0,0.0,0.03305785123966942,0.42625899280575535,0.0,1.0,0.5545023696682464,0.5967016491754124,0.0,0.3905325443786982,0.865414710485133,0.23672566371681417,0.0,0.4222222222222222,0.0,0.3180381920593488,0.17373461012311905,0.5298759864712514,0.830188679245283,0.0,0.2900943396226414,0.27558139534883724,0.0,0.15970961887477314,0.543859649122807,1.0,0.0,1.0,0.1844380403458213,0.7910447761194029,0.5612244897959184,0.5175438596491229,0.0,0.0,0.0,0.9257540603248259,0.10447761194029846,0.3435114503816794,0.2784090909090909,0.08374792703150914,0.16047548291233285,0.370600414078675,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11722141823444282,0.15151515151515152,0.0,0.0,0.7429519071310116,1.0,0.015810276679841896,1.0,0.0,0.07751937984496124,0.40635641316685583,0.5232974910394266,0.5755517826825127,0.5154639175257731,0.0,0.3300553165334973,1.0,1.0,0.9261146496815286,0.3532934131736526,1.0,0.0,0.0,0.2293577981651376,1.0,0.02118762196821857,0.0,0.11971830985915492,0.1271069356175739,0.0,0.5467625899280575
AIB:390_510-330_390,0.226775956284153,0.47681933127282944,0.10450966356478167,0.0,0.0,0.24174350377200338,1.0,0.0,0.0,1.0,0.15126050420168066,0.08606060606060599,1.0,0.3116413593637021,1.0,0.5383211678832117,0.32459425717852686,0.5238095238095238,0.0,0.1760696156635243,0.0,1.0,1.0,1.0,0.0,0.0,0.29127358490566035,0.0,0.25916230366492143,0.0,0.5428571428571429,1.0,0.3438648052902278,0.09859943977591037,1.0,0.0,0.0,0.4733840304182509,0.0,0.0,1.0,0.0,1.0,0.0,0.22727272727272727,0.3573170731707317,0.08695652173913043,0.0,0.5935572309801236,0.0,1.0,0.0,0.0,0.0,0.33993399339933994,1.0,0.041628122109158186,0.3004484304932735,0.0,0.0,0.0,0.0,1.0,0.3399503722084367,0.22299651567944248,0.0,0.0,0.0,0.0,0.0,0.6692546583850931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.18007190549563432,0.1542111506524318,1.0,0.0,0.434640522875817,0.0,0.0,0.0,0.0,0.43482224247948953,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6812447434819175,0.0,0.0,0.0,0.2504188540154138,1.0,1.0,0.0,0.0,0.29316770186335406,0.7283142389525368,0.2835820895522388,1.0,0.7152717860224331,0.7331433998100665,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5720164609053497,0.0,1.0,0.0,0.0,0.0,0.0,0.23230593607305927,0.43457189014539577,0.0,0.0,0.0,0.48252536640360777,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2262202753441802,1.0,0.0,0.41348233597692874,0.0,0.0
AIB:510_650-390_510,0.546448087431694,0.27030064624894634,0.172921566622354,1.0,0.0,0.1589270746018441,1.0,0.0,0.0,1.0,0.42436974789915966,0.456969696969697,1.0,0.3767172812725958,1.0,0.23083941605839417,0.35081148564294634,0.761904761904762,0.0,0.6478607686729515,0.0,1.0,0.0,0.0,0.0,1.0,0.41745283018867935,1.0,0.481675392670157,0.0,0.45714285714285713,1.0,0.3122703894195445,0.08683473389355742,0.0,0.0,0.0,0.05323193916349811,0.0,0.0,0.0,0.0,1.0,0.0,0.5454545454545455,0.2853658536585366,0.826086956521739,1.0,0.40644276901987675,1.0,1.0,0.0,0.0,0.0,0.3201320132013201,1.0,0.4791859389454209,0.15067264573991035,0.0,0.0,0.0,0.0,0.0,0.3300248138957817,0.5540069686411149,1.0,1.0,0.0,0.0,0.0,0.3385093167701863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.03872624550590651,0.6915776986951364,1.0,0.0,0.3398692810457516,0.0,0.0,0.0,0.0,0.28258887876025524,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3187552565180824,0.0,0.0,0.0,0.4991622919691724,1.0,1.0,0.0,1.0,0.4136645962732919,0.13584288052373159,0.3582089552238806,1.0,0.14236410698878343,0.13342830009496678,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.4279835390946502,0.0,1.0,0.0,0.0,0.0,1.0,0.18436073059360725,0.13085621970920844,0.0,0.0,0.0,0.03494926719278469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.34511889862327905,1.0,1.0,0.05515501081470805,0.0,0.0
