,leiden
nduo-6,4
ndfl-4,4
nduo-1,4
atp-6,4
nduo-2,7
ctb-1,4
ctc-3,4
nduo-4,7
ctc-1,4
ctc-2,4
nduo-3,4
nduo-5,4
Y38C1AB.5,2
frm-5.1,0
T05C7.4,5
T05C7.5,2
T05C7.7,2
scl-23,2
tpa-1,1
B0545.4,3
F29C4.4,12
tut-1,1
grld-1,0
F29C4.2,7
daf-1,0
col-99,1
Y38C1AA.9,5
Y38C1AA.7,6
Y38C1AA.19,6
Y38C1AA.6,10
cutl-24,0
tcl-2,0
pnc-1,7
Y38C1AA.12,1
csn-3,0
gfrp-1,1
Y38C1AA.14,0
Y38C1AA.1,0
prdx-6,0
R02D3.3,0
R02D3.4,0
fnta-1,0
cogc-8,4
R02D3.1,1
grl-19,9
R02D3.7,1
R02D3.8,1
dpy-9,6
pqbp-1.1,0
pat-6,7
T21D12.12,3
T21D12.11,12
sma-10,2
best-19,0
T21D12.14,2
T21D12.7,1
K02D7.1,1
swt-1,2
snai-1,3
dsc-4,1
grl-26,2
drl-1,2
col-101,11
F18F11.4,2
F18F11.1,3
cdh-8,1
fln-1,7
spl-1,0
pqbp-1.2,1
rps-24,7
T07A9.14,0
tag-261,0
ears-2,4
T07A9.10,4
T07A9.15,4
nog-1,4
T07A9.8,0
gpa-4,2
kgb-1,0
T07A9.12,0
eri-1,0
daf-18,0
Y66H1A.4,4
Y66H1A.5,1
hum-8,2
mrpl-55,0
dpm-1,4
Y66H1A.8,2
M04G7.5,14
M04G7.1,2
M04G7.2,3
M04G7.3,2
W03G1.5,2
pig-1,0
W03G1.2,6
glt-7,2
F56A11.4,3
efn-4,0
F56A11.7,2
F56A11.5,1
gex-2,4
F56A11.6,12
C18H7.12,10
C18H7.6,13
C18H7.4,6
C18H7.11,6
inx-18,7
C18H7.1,6
nhr-76,2
K11H12.9,3
K11H12.1,1
rpl-15,7
K11H12.8,0
K11H12.7,7
K11H12.6,11
K11H12.11,3
K11H12.3,9
K11H12.4,2
K11H12.5,1
cutl-28,1
cutl-26,3
clec-164,6
Y55F3C.10,2
Y55F3C.9,0
srt-24,2
kvs-5,1
srt-23,6
gst-40,3
col-103,1
F56B3.2,1
mrpl-2,0
ugt-52,3
F56B3.4,0
F56B3.6,2
skr-18,0
F56B3.11,7
ech-5,1
mrpl-46,1
Y55F3BL.4,0
Y55F3BL.6,5
zipt-20,1
madf-1,1
Y55F3BR.10,2
Y55F3BR.6,3
lgc-33,1
lem-4,1
Y55F3BR.11,1
Y55F3BR.2,3
Y55F3BR.1,0
mak-2,0
fbxc-12,1
fbxc-8,2
F58H7.5,2
lgc-30,5
F58H7.1,3
faah-3,11
plx-1,1
egrh-2,2
lep-2,1
Y55F3AM.5,1
immp-2,0
Y55F3AM.9,4
atg-3,0
Y55F3AM.3,4
abhd-14,1
Y55F3AM.11,3
srx-12,5
Y55F3AM.21,2
dcap-1,0
Y55F3AM.13,0
mrps-25,0
Y55F3AM.14,9
