,leiden
nduo-6,7
ndfl-4,0
nduo-1,7
atp-6,7
nduo-2,7
ctb-1,7
ctc-3,7
nduo-4,7
ctc-1,7
ctc-2,7
nduo-3,0
nduo-5,7
Y38C1AB.5,3
frm-5.1,1
T05C7.4,3
T05C7.5,4
T05C7.7,6
scl-23,3
tpa-1,1
B0545.4,2
F29C4.4,10
tut-1,1
grld-1,0
F29C4.2,0
daf-1,1
col-99,1
Y38C1AA.9,5
Y38C1AA.7,8
Y38C1AA.19,8
Y38C1AA.6,9
cutl-24,7
tcl-2,1
pnc-1,0
Y38C1AA.12,1
csn-3,1
gfrp-1,2
Y38C1AA.14,0
Y38C1AA.1,0
prdx-6,1
R02D3.3,0
R02D3.4,0
fnta-1,1
cogc-8,0
R02D3.1,1
grl-19,6
R02D3.7,1
R02D3.8,4
dpy-9,8
pqbp-1.1,0
pat-6,0
T21D12.12,2
T21D12.11,10
sma-10,3
best-19,1
T21D12.14,3
T21D12.7,7
K02D7.1,2
swt-1,3
snai-1,2
dsc-4,2
grl-26,3
drl-1,3
col-101,6
F18F11.4,3
F18F11.1,2
cdh-8,7
fln-1,0
spl-1,1
pqbp-1.2,4
rps-24,7
T07A9.14,1
tag-261,0
ears-2,0
T07A9.10,0
T07A9.15,0
nog-1,0
T07A9.8,1
gpa-4,4
kgb-1,0
T07A9.12,0
eri-1,1
daf-18,1
Y66H1A.4,0
Y66H1A.5,2
hum-8,3
mrpl-55,0
dpm-1,0
Y66H1A.8,4
M04G7.5,12
M04G7.1,3
M04G7.2,2
M04G7.3,3
W03G1.5,6
pig-1,1
W03G1.2,8
glt-7,3
F56A11.4,2
efn-4,0
F56A11.7,4
F56A11.5,1
gex-2,0
F56A11.6,10
C18H7.12,9
C18H7.6,14
C18H7.4,8
C18H7.11,8
inx-18,13
C18H7.1,8
nhr-76,3
K11H12.9,3
K11H12.1,1
rpl-15,7
K11H12.8,0
K11H12.7,0
K11H12.6,3
K11H12.11,2
K11H12.3,10
K11H12.4,3
K11H12.5,4
cutl-28,2
cutl-26,2
clec-164,8
Y55F3C.10,4
Y55F3C.9,1
srt-24,3
kvs-5,2
srt-23,8
gst-40,2
col-103,4
F56B3.2,1
mrpl-2,0
ugt-52,2
F56B3.4,1
F56B3.6,6
skr-18,0
F56B3.11,0
ech-5,4
mrpl-46,1
Y55F3BL.4,1
Y55F3BL.6,5
zipt-20,4
madf-1,2
Y55F3BR.10,3
Y55F3BR.6,2
lgc-33,2
lem-4,1
Y55F3BR.11,2
Y55F3BR.2,2
Y55F3BR.1,1
mak-2,1
fbxc-12,4
fbxc-8,3
F58H7.5,6
lgc-30,5
F58H7.1,2
faah-3,15
plx-1,1
egrh-2,4
lep-2,4
Y55F3AM.5,1
immp-2,0
Y55F3AM.9,0
atg-3,0
Y55F3AM.3,0
abhd-14,2
Y55F3AM.11,2
srx-12,5
Y55F3AM.21,3
dcap-1,1
Y55F3AM.13,0
mrps-25,1
Y55F3AM.14,12
csn-4,1
cct-8,1
Y55F3AR.2,4
Y55F3AR.1,1
C44B12.9,2
C44B12.3,4
ost-1,7
srx-14,6
srx-13,11
perm-4,3
perm-2,6
C44B12.6,4
C50A2.3,6
ets-8,8
cec-2,3
Y104H12D.2,1
Y104H12D.4,1
mdt-20,0
Y104H12D.3,1
dsl-2,1
dsl-1,1
W09G12.9,2
W09G12.10,2
W09G12.7,3
W09G12.6,8
F38A1.8,1
F38A1.15,6
F38A1.9,2
clec-165,8
F38A1.11,6
clec-166,2
F38A1.6,3
clec-167,3
clec-169,5
F38A1.13,3
clec-170,11
C09E9.1,2
plst-1,2
F53H1.1,0
F53H1.4,0
F53H1.3,1
F58F6.6,5
rfc-2,1
col-104,2
col-105,7
nhr-41,2
Y77E11A.14,3
rpc-11,0
Y77E11A.7,1
jtr-1,2
Y77E11A.8,8
clec-171,6
Y77E11A.23,1
clp-6,3
clp-7,1
Y77E11A.2,4
Y77E11A.12,2
Y77E11A.16,5
npp-20,0
hxk-3,0
K03H6.2,6
K03H6.4,8
K03H6.1,3
K03H6.5,2
C34H4.5,4
col-107,13
tag-244,3
C34H4.2,3
Y41D4B.17,4
hpo-6,2
Y41D4B.15,4
npp-8,1
Y41D4B.14,1
ced-2,1
set-23,1
Y41D4B.11,0
dsl-3,0
nhr-122,1
nhr-287,4
nhr-92,8
nhr-87,4
nhr-146,2
Y41D4B.26,0
Y41D4B.6,1
nhr-274,4
rps-28,0
Y41D4B.4,4
Y41D4B.1,5
Y41D4B.24,5
bus-2,3
K08D12.4,7
pbs-1,0
K08D12.3,0
rpi-2,2
K08D12.6,8
K08D12.7,11
K08D12.8,2
Y41D4A.5,1
Y41D4A.6,1
Y41D4A.4,0
Y41D4A.7,5
Y41D4A.3,0
col-108,9
Y41D4A.1,3
frpr-19,4
Y38C1BA.1,6
snn-1,2
col-109,2
cmk-1,2
K07A9.3,3
egl-4,0
egl-18,0
elt-6,1
denn-4,1
tsen-54,4
F52C12.2,1
F52C12.6,1
F52C12.1,1
ulp-3,1
Y48A5A.1,1
Y48A5A.3,1
Y76B12C.4,6
Y76B12C.3,0
Y76B12C.8,5
Y76B12C.6,1
xpc-1,1
cpsf-1,0
Y76B12C.9,14
cng-2,2
R05C11.4,2
R05C11.2,6
arrd-26,2
mca-2,2
C23H5.11,7
che-6,5
C23H5.8,2
xbx-4,7
glb-7,2
grl-20,3
prmt-6,4
C23H5.12,3
test-1,7
C54E4.12,4
C54E4.5,2
gcy-37,7
C54E4.4,2
C54E4.1,3
Y71G10AL.1,1
Y71G10AR.4,4
T04C4.3,6
T04C4.1,4
M70.3,5
M70.2,15
M70.4,1
M70.5,4
lin-1,2
mksr-2,7
vha-11,0
vha-3,1
Y38F2AL.12,9
nsy-4,7
nhr-236,2
ppgn-1,1
tftc-1,4
Y38F2AR.3,0
Y38F2AR.9,0
trap-3,0
eri-5,4
Y38F2AR.12,2
C45G7.4,4
cdh-10,3
C45G7.13,2
ilys-2,10
ilys-1,6
grd-16,3
Y69A2AL.2,10
Y69A2AR.19,3
Y69A2AR.21,0
Y69A2AR.18,0
Y69A2AR.16,1
Y69A2AR.22,5
sprr-3,5
Y69A2AR.12,10
nhr-242,3
epg-9,0
vamp-7,0
Y69A2AR.32,4
Y69A2AR.28,0
daao-1,3
smf-3,9
ngn-1,7
mdf-2,1
Y69A2AR.3,0
ric-8,0
Y69A2AR.31,1
Y69A2AR.1,0
gpx-4,4
Y94H6A.3,0
egrh-3,1
Y94H6A.5,0
ubc-8,2
Y94H6A.10,2
Y94H6A.12,1
Y94H6A.7,4
Y94H6A.8,0
ubxn-2,0
Y94H6A.2,6
nhr-277,5
Y54G2A.41,5
Y54G2A.38,9
Y54G2A.77,10
Y54G2A.11,13
Y54G2A.12,4
Y54G2A.72,4
atln-1,0
Y54G2A.52,2
Y54G2A.10,5
Y54G2A.44,3
Y54G2A.32,5
Y54G2A.45,3
Y54G2A.76,1
Y54G2A.13,10
Y54G2A.37,3
clec-80,9
Y54G2A.48,11
pudl-1,12
pudl-2,8
clec-82,3
Y54G2A.7,2
clec-83,2
clec-84,3
Y54G2A.15,8
Y54G2A.40,4
Y54G2A.49,3
clec-85,4
Y54G2A.16,6
nprt-1,1
dml-1,2
Y54G2A.75,0
Y54G2A.18,0
Y54G2A.19,4
Y54G2A.36,4
Y54G2A.50,1
fbxc-45,9
ubc-13,0
Y54G2A.23,0
samt-1,2
ser-6,2
lad-2,7
Y54G2A.26,0
Y54G2A.27,8
Y54G2A.73,3
Y54G2A.28,8
vrp-1,6
ndnf-1,3
