,sum
BWM_head_row_1,1630
BWM_anterior,4251
AFD,1003
OLQ_parent,1400
BWM_anterior,2648
BWM_head_row_2,1463
AIN_parent,1333
Neuroblast_AWC_SAAVx,1633
Parent_of_AMsh_URB,3072
RIM_parent,1139
BWM_anterior,1362
Neuroblast_PVC_LUA,1446
BWM_anterior,3345
BWM_posterior,1241
BWM_head_row_1,1735
BWM_posterior,2054
Neuroblast_AIZ_FLP,1650
RID_parent,1005
BWM_anterior,1982
DVC_parent,1323
Neuroblast_AIZ_FLP,1585
BWM_anterior,3781
M4_parent,1422
ASK_parent,1799
RID_parent,1779
ASE,2527
mc3,1468
BWM_anterior,1694
BWM_head_row_1,1452
BWM_head_row_2,1028
Neuroblast_URX_CEPDx,2370
Neuroblast_AWC_SAAVx,1691
BWM_anterior,1746
BWM_anterior,1020
Neuroblast_ASH_RIB,2254
PVQ_parent,1000
BWM_anterior,1877
BWM_head_row_1,1308
Neuroblast_AFD_RMD,1487
BWM_posterior,1937
BWM_head_row_1,1505
Neuroblast_ALM_BDU,1492
BWM_head_row_2,1676
BWM_anterior,2111
BWM_head_row_2,1271
AVH_parent,4667
BWM_head_row_1,1830
Neuroblast_ADF_AWB,1296
BWM_posterior,1165
BWM_posterior,2611
mc3,2329
AVH_parent,1213
mc3,1583
OLL_parent,1219
Neuroblast_ASE_ASJ_AUA,1821
Neuroblast_AVG_RIR,2839
BWM_anterior,1815
BWM_head_row_1,1704
BWM_head_row_2,1816
PLM_ALN_great_grandparent,1695
BWM_posterior,1551
BWM_posterior,2806
PVQ_parent,2194
BWM_posterior,2593
mc2,2668
DVC_parent,1278
ASK_parent,1665
ASE_parent,1399
DVC_parent,1422
DVC_parent,2070
Neuroblast_ASJ_AUA,1900
BWM_anterior,2451
BWM_head_row_2,1425
BWM_posterior,1387
BWM_anterior,1579
BWM_posterior,1907
BWM_anterior,3376
BWM_anterior,1440
BWM_anterior,1240
BWM_head_row_2,1674
BWM_head_row_2,1374
BWM_head_row_1,1600
BWM_posterior,1500
Neuroblast_ASH_RIB,1924
RIM_parent,1094
BWM_anterior,1383
BWM_anterior,1409
BWM_far_posterior,1077
BWM_head_row_2,1274
BWM_posterior,2951
BWM_anterior,2686
BWM_posterior,1726
BWM_head_row_2,1471
BWM_posterior,2983
BWM_posterior,3011
BWM_posterior,1288
Neuroblast_AFD_RMD,5111
BWM_anterior,3093
BWM_anterior,1592
AFD,1411
BWM_posterior,2100
BWM_anterior,4371
RID_parent,1943
mc2,2645
BWM_head_row_2,1584
Neuroblast_I6_M5,1448
BWM_anterior,1697
BWM_far_posterior,1066
BWM_anterior,2602
M1_parent,1148
OLQ_parent,1511
BWM_posterior,4891
BWM_anterior,1489
BWM_posterior,2872
BWM_anterior,3888
BWM_posterior,1236
BWM_anterior,1812
BWM_head_row_1,1670
Neuroblast_AFD_RMD,1473
BWM_posterior,2116
Neuroblast_ASG_AWA,1482
BWM_head_row_2,1340
Neuroblast_AIZ_FLP,1276
Neuroblast_ASG_AWA,1461
RIC_parent,1534
PVQ_parent,1264
BWM_head_row_1,1773
BWM_far_posterior,1752
Neuroblast_ASE_ASJ_AUA,1724
BWM_head_row_2,1460
BWM_head_row_1,1459
BWM_far_posterior,2369
BWM_posterior,2266
BWM_posterior,2194
BWM_posterior,2773
AVH_parent,1282
Neuroblast_ADF_AWB,1113
Neuroblast_AIZ_FLP,1342
BWM_anterior,3893
Neuroblast_ASG_AWA,1346
Neuroblast_AWC_SAAVx,5298
BWM_posterior,1439
BWM_posterior,1059
BWM_anterior,1410
BWM_head_row_2,1677
Parent_of_MI_pm1DR,1308
DB,3281
DD,2046
Neuroblast_ASH_RIB,1306
BWM_anterior,2691
BWM_head_row_2,1637
BWM_anterior,5675
OLQ_parent,2421
BWM_posterior,1898
RIM_parent,2524
BWM_head_row_1,1941
BWM_posterior,2188
Neuroblast_ASE_ASJ_AUA,1782
ADL,1388
BWM_head_row_1,1764
Neuroblast_M2_M3,1390
BWM_posterior,2640
BWM_head_row_1,4188
BWM_head_row_1,1036
AVH_parent,1418
AMso_parent,1645
Neuroblast_AFD_RMD,1351
OLQ_grandparent,2924
OLQ_grandparent,1120
PVQ_parent,1351
BWM_far_posterior,2583
Neuroblast_ASH_RIB,1080
IL2,3129
BWM_posterior,2590
PLM_ALN_great_grandparent,2171
BWM_posterior,4608
BWM_posterior,1343
BWM_anterior,1705
BWM_anterior,2033
ADL_parent,1964
BWM_head_row_2,1008
BWM_posterior,2175
BWM_anterior,3785
BWM_head_row_1,1556
BWM_posterior,1327
BWM_head_row_2,1257
BWM_head_row_2,2034
Neuroblast_ASE_ASJ_AUA,3144
CAN,1572
AVG,1000
BWM_anterior,3432
BWM_head_row_2,1832
BWM_far_posterior,1040
Neuroblast_ASG_AWA,1450
BWM_head_row_1,1547
BWM_posterior,2272
BWM_head_row_1,1752
BWM_posterior,2176
RIC_parent,1177
DVC_parent,1613
BWM_anterior,3163
BWM_anterior,1790
BWM_anterior,1517
BWM_posterior,1327
BWM_head_row_1,2082
BWM_anterior,3357
BWM_posterior,1638
BWM_head_row_2,1650
BWM_head_row_1,1696
PLM_ALN_grandparent,1624
BWM_anterior,2130
mc1,1169
ASG_AWA,1668
RIM_parent,1231
BWM_far_posterior,1860
Parent_of_AMsh_URB,2453
AVH_parent,1245
RMED,1366
BWM_head_row_1,2145
BWM_anterior,2046
BWM_posterior,1307
