,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14
ADE:390_510,0.15992505077520583,0.03765172866809893,0.0022938193272915414,0.01594547518546845,0.5168997248868914,0.0015798321424513855,0.00015185777277107302,0.0847068792184632,0.18039987577318362,0.00020503355852255988,3.2928082715343784e-05,8.661517409905646e-05,4.704011816477683e-05,3.333712722112445e-05,4.080218945162164e-05
ADEsh:390_510,0.13098949188144438,0.0646002284985758,0.0030565102402989623,0.02316818029798679,0.4358869480952364,0.0007584650886702211,6.0501721493333484e-05,0.08096813773252608,0.26038430938356194,0.0,0.0,0.00012722706020604866,0.0,0.0,0.0
ADF:390_510,0.15072959943233485,0.04139262271303413,0.0018938785175444412,0.02602473281858843,0.44184555048911883,0.008526979758620254,1.4443887936586854e-05,0.08048286934547216,0.24888171757764202,4.8214104802409646e-05,5.716524662226628e-05,6.377688546647859e-05,2.7565448104331254e-05,1.0883774712780236e-05,0.0
ADF:510_650,0.12721634127269255,0.04908197258692567,0.0028638878135771486,0.06767068291733466,0.30422080229498855,0.03842870188057325,4.497227036627541e-05,0.08682814806150431,0.3227268915507109,0.00048314246421016975,0.00010717015805174348,4.6416334093632876e-05,0.00014275601419019534,4.1052668820590855e-05,9.706171196024121e-05
ADF_AWB_terminal_cells_but_undifferentiated,0.1879202307398089,0.04138769585079626,0.001827954285222926,0.008544750859981156,0.5523922300940879,0.0017380116740844816,8.669778187527606e-05,0.07228384468462491,0.1336278489093926,5.931953496729415e-05,1.500733534215305e-05,0.00010494994648059733,1.1458303335562802e-05,0.0,0.0
ADF:gt_650,0.1349979285802359,0.055512993100655994,0.004494362790391021,0.08176365570668484,0.3020666757320997,0.059039848072639255,0.00014390582599883796,0.10450944014822512,0.25645856637466036,0.00015743001522633524,0.00043573247167342713,0.0002506201316220585,2.377298887646002e-05,0.00014506806101057603,0.0
ADL:330_390,0.19380317391750146,0.03803232565669264,0.0015796580650027981,0.007246992309607318,0.5816650457526491,0.0012282746457296751,8.301749272611042e-05,0.06649205691460887,0.10973426110690125,3.862689673736198e-05,2.6695028111684717e-05,3.609895846921002e-05,3.0335259217823544e-05,3.437996044686668e-06,0.0
ADL:390_510,0.1670826813511558,0.040176865902712425,0.002729072509721335,0.03268293876656197,0.44704509239186596,0.010110855677690348,8.120072718638773e-05,0.08326836263941396,0.21652189072505673,8.302091783315606e-05,1.941536689886232e-05,0.00015876107307923875,2.7808468214516344e-05,1.2033482609190709e-05,0.0
ADL:510_650,0.1369067120406675,0.04180879915257062,0.0027810341337465337,0.06323303576291814,0.3241128778535908,0.053155280215076664,8.414134770863193e-05,0.10104634033915061,0.2763605290092539,0.00022071860775742575,9.714870580851705e-05,9.70470858233617e-05,3.150219539815929e-05,1.1381438337399487e-05,5.3452112191715454e-05
ADL:gt_650,0.13137327616201702,0.051151028242217185,0.004307684253932011,0.08076660031988371,0.25848610526184485,0.11073430419054214,0.00025816863452513174,0.11186881475239992,0.24595025432933462,0.00016256955599800376,0.0024336355797889846,0.00022217839319727182,5.971108220304037e-05,0.0021029752375892716,0.0001226940045267953
