wbid,term,found
WBGene00017464,organic acid transport GO:0015849,1.0
WBGene00004911,organic acid transport GO:0015849,1.0
WBGene00012259,organic acid transport GO:0015849,1.0
WBGene00000005,organic acid transport GO:0015849,1.0
WBGene00010421,organic acid transport GO:0015849,1.0
WBGene00044152,organic acid transport GO:0015849,1.0
WBGene00011556,organic acid transport GO:0015849,1.0
WBGene00010340,organic acid transport GO:0015849,1.0
WBGene00009404,organic acid transport GO:0015849,1.0
WBGene00004906,organic acid transport GO:0015849,1.0
WBGene00013127,organic acid transport GO:0015849,1.0
WBGene00015197,organic acid transport GO:0015849,1.0
WBGene00000539,organic acid transport GO:0015849,1.0
WBGene00004058,organic acid transport GO:0015849,1.0
WBGene00016628,organic acid transport GO:0015849,1.0
WBGene00018414,organic acid transport GO:0015849,1.0
WBGene00018901,organic acid transport GO:0015849,1.0
WBGene00010788,organic acid transport GO:0015849,1.0
WBGene00006950,cell surface GO:0009986,1.0
WBGene00001985,cell surface GO:0009986,1.0
WBGene00020335,cell surface GO:0009986,1.0
WBGene00020566,cell surface GO:0009986,1.0
WBGene00011894,cell surface GO:0009986,1.0
WBGene00016505,cell surface GO:0009986,1.0
WBGene00004958,cell surface GO:0009986,1.0
WBGene00017600,cell surface GO:0009986,1.0
WBGene00017091,cell surface GO:0009986,1.0
WBGene00011450,cell surface GO:0009986,1.0
WBGene00008341,cell surface GO:0009986,1.0
WBGene00000176,cell surface GO:0009986,1.0
WBGene00010225,cell surface GO:0009986,1.0
WBGene00020289,interspecies interaction between organisms GO:0044419,1.0
WBGene00003094,interspecies interaction between organisms GO:0044419,1.0
WBGene00009090,interspecies interaction between organisms GO:0044419,1.0
WBGene00021873,interspecies interaction between organisms GO:0044419,1.0
WBGene00019619,interspecies interaction between organisms GO:0044419,1.0
WBGene00007506,interspecies interaction between organisms GO:0044419,1.0
WBGene00022644,interspecies interaction between organisms GO:0044419,1.0
WBGene00000013,interspecies interaction between organisms GO:0044419,1.0
WBGene00004911,interspecies interaction between organisms GO:0044419,1.0
WBGene00015759,interspecies interaction between organisms GO:0044419,1.0
WBGene00018760,interspecies interaction between organisms GO:0044419,1.0
WBGene00000012,interspecies interaction between organisms GO:0044419,1.0
WBGene00001692,interspecies interaction between organisms GO:0044419,1.0
WBGene00010127,interspecies interaction between organisms GO:0044419,1.0
WBGene00016788,interspecies interaction between organisms GO:0044419,1.0
WBGene00002206,interspecies interaction between organisms GO:0044419,1.0
WBGene00019213,interspecies interaction between organisms GO:0044419,1.0
WBGene00010658,interspecies interaction between organisms GO:0044419,1.0
WBGene00001786,interspecies interaction between organisms GO:0044419,1.0
WBGene00019779,interspecies interaction between organisms GO:0044419,1.0
WBGene00044073,interspecies interaction between organisms GO:0044419,1.0
WBGene00007990,interspecies interaction between organisms GO:0044419,1.0
WBGene00008988,interspecies interaction between organisms GO:0044419,1.0
WBGene00016912,interspecies interaction between organisms GO:0044419,1.0
WBGene00000560,interspecies interaction between organisms GO:0044419,1.0
WBGene00019215,interspecies interaction between organisms GO:0044419,1.0
WBGene00008492,interspecies interaction between organisms GO:0044419,1.0
WBGene00009710,interspecies interaction between organisms GO:0044419,1.0
WBGene00018731,interspecies interaction between organisms GO:0044419,1.0
WBGene00008199,interspecies interaction between organisms GO:0044419,1.0
WBGene00003705,interspecies interaction between organisms GO:0044419,1.0
WBGene00015768,interspecies interaction between organisms GO:0044419,1.0
WBGene00010851,interspecies interaction between organisms GO:0044419,1.0
WBGene00000522,interspecies interaction between organisms GO:0044419,1.0
WBGene00008494,interspecies interaction between organisms GO:0044419,1.0
WBGene00015362,interspecies interaction between organisms GO:0044419,1.0
WBGene00013801,interspecies interaction between organisms GO:0044419,1.0
WBGene00007153,interspecies interaction between organisms GO:0044419,1.0
WBGene00022262,interspecies interaction between organisms GO:0044419,1.0
WBGene00016085,interspecies interaction between organisms GO:0044419,1.0
WBGene00009160,interspecies interaction between organisms GO:0044419,1.0
WBGene00010019,interspecies interaction between organisms GO:0044419,1.0
WBGene00008233,interspecies interaction between organisms GO:0044419,1.0
WBGene00004988,interspecies interaction between organisms GO:0044419,1.0
WBGene00000556,interspecies interaction between organisms GO:0044419,1.0
WBGene00022645,interspecies interaction between organisms GO:0044419,1.0
WBGene00008726,interspecies interaction between organisms GO:0044419,1.0
WBGene00020659,interspecies interaction between organisms GO:0044419,1.0
WBGene00016218,interspecies interaction between organisms GO:0044419,1.0
WBGene00019411,interspecies interaction between organisms GO:0044419,1.0
WBGene00009971,interspecies interaction between organisms GO:0044419,1.0
WBGene00009226,interspecies interaction between organisms GO:0044419,1.0
WBGene00010124,interspecies interaction between organisms GO:0044419,1.0
WBGene00012518,interspecies interaction between organisms GO:0044419,1.0
WBGene00007537,interspecies interaction between organisms GO:0044419,1.0
WBGene00015052,interspecies interaction between organisms GO:0044419,1.0
WBGene00000169,interspecies interaction between organisms GO:0044419,1.0
WBGene00022642,interspecies interaction between organisms GO:0044419,1.0
WBGene00008486,interspecies interaction between organisms GO:0044419,1.0
WBGene00014698,interspecies interaction between organisms GO:0044419,1.0
WBGene00012624,interspecies interaction between organisms GO:0044419,1.0
WBGene00009097,interspecies interaction between organisms GO:0044419,1.0
WBGene00003995,interspecies interaction between organisms GO:0044419,1.0
WBGene00010123,interspecies interaction between organisms GO:0044419,1.0
WBGene00003997,interspecies interaction between organisms GO:0044419,1.0
WBGene00019564,interspecies interaction between organisms GO:0044419,1.0
WBGene00001674,interspecies interaction between organisms GO:0044419,1.0
WBGene00008969,interspecies interaction between organisms GO:0044419,1.0
WBGene00004397,structural constituent of cuticle GO:0042302,1.0
WBGene00000722,structural constituent of cuticle GO:0042302,1.0
WBGene00000668,structural constituent of cuticle GO:0042302,1.0
WBGene00000613,structural constituent of cuticle GO:0042302,1.0
WBGene00000696,structural constituent of cuticle GO:0042302,1.0
WBGene00000728,structural constituent of cuticle GO:0042302,1.0
WBGene00000252,structural constituent of cuticle GO:0042302,1.0
WBGene00000671,structural constituent of cuticle GO:0042302,1.0
WBGene00000688,structural constituent of cuticle GO:0042302,1.0
WBGene00000729,structural constituent of cuticle GO:0042302,1.0
WBGene00001074,structural constituent of cuticle GO:0042302,1.0
WBGene00000851,structural constituent of cuticle GO:0042302,1.0
WBGene00000753,structural constituent of cuticle GO:0042302,1.0
WBGene00000663,structural constituent of cuticle GO:0042302,1.0
WBGene00000720,structural constituent of cuticle GO:0042302,1.0
WBGene00000666,structural constituent of cuticle GO:0042302,1.0
WBGene00000684,structural constituent of cuticle GO:0042302,1.0
WBGene00000631,structural constituent of cuticle GO:0042302,1.0
WBGene00000657,structural constituent of cuticle GO:0042302,1.0
WBGene00000742,structural constituent of cuticle GO:0042302,1.0
WBGene00000717,structural constituent of cuticle GO:0042302,1.0
WBGene00000749,structural constituent of cuticle GO:0042302,1.0
WBGene00000731,structural constituent of cuticle GO:0042302,1.0
WBGene00000616,structural constituent of cuticle GO:0042302,1.0
WBGene00000754,structural constituent of cuticle GO:0042302,1.0
WBGene00000746,structural constituent of cuticle GO:0042302,1.0
WBGene00010343,structural constituent of cuticle GO:0042302,1.0
WBGene00000748,structural constituent of cuticle GO:0042302,1.0
WBGene00000732,structural constituent of cuticle GO:0042302,1.0
WBGene00000784,peptidase activity GO:0008233,1.0
WBGene00003524,peptidase activity GO:0008233,1.0
WBGene00019619,peptidase activity GO:0008233,1.0
WBGene00006950,peptidase activity GO:0008233,1.0
WBGene00008861,peptidase activity GO:0008233,1.0
WBGene00001985,peptidase activity GO:0008233,1.0
WBGene00020465,peptidase activity GO:0008233,1.0
WBGene00013916,peptidase activity GO:0008233,1.0
WBGene00008849,peptidase activity GO:0008233,1.0
WBGene00015056,peptidase activity GO:0008233,1.0
WBGene00017136,peptidase activity GO:0008233,1.0
WBGene00002252,peptidase activity GO:0008233,1.0
WBGene00016306,peptidase activity GO:0008233,1.0
WBGene00012364,peptidase activity GO:0008233,1.0
WBGene00011958,peptidase activity GO:0008233,1.0
WBGene00015682,peptidase activity GO:0008233,1.0
WBGene00000546,peptidase activity GO:0008233,1.0
WBGene00005649,peptidase activity GO:0008233,1.0
WBGene00017754,peptidase activity GO:0008233,1.0
WBGene00013786,peptidase activity GO:0008233,1.0
WBGene00019122,peptidase activity GO:0008233,1.0
WBGene00003534,peptidase activity GO:0008233,1.0
WBGene00004958,peptidase activity GO:0008233,1.0
WBGene00001691,peptidase activity GO:0008233,1.0
WBGene00006620,peptidase activity GO:0008233,1.0
WBGene00019343,peptidase activity GO:0008233,1.0
WBGene00009384,peptidase activity GO:0008233,1.0
WBGene00001059,peptidase activity GO:0008233,1.0
WBGene00000781,peptidase activity GO:0008233,1.0
WBGene00000785,peptidase activity GO:0008233,1.0
WBGene00194737,peptidase activity GO:0008233,1.0
WBGene00007605,peptidase activity GO:0008233,1.0
WBGene00000088,peptidase activity GO:0008233,1.0
WBGene00008854,peptidase activity GO:0008233,1.0
WBGene00003554,peptidase activity GO:0008233,1.0
WBGene00003523,peptidase activity GO:0008233,1.0
WBGene00003520,peptidase activity GO:0008233,1.0
WBGene00018605,peptidase activity GO:0008233,1.0
WBGene00003533,peptidase activity GO:0008233,1.0
WBGene00003543,peptidase activity GO:0008233,1.0
WBGene00044760,peptidase activity GO:0008233,1.0
WBGene00019617,peptidase activity GO:0008233,1.0
WBGene00044150,peptidase activity GO:0008233,1.0
WBGene00009347,peptidase activity GO:0008233,1.0
WBGene00017881,peptidase activity GO:0008233,1.0
WBGene00009865,peptidase activity GO:0008233,1.0
WBGene00015681,peptidase activity GO:0008233,1.0
WBGene00003551,peptidase activity GO:0008233,1.0
WBGene00015355,peptidase activity GO:0008233,1.0
WBGene00011169,molecular transducer activity GO:0060089,1.0
WBGene00006161,molecular transducer activity GO:0060089,1.0
WBGene00003386,molecular transducer activity GO:0060089,1.0
WBGene00043066,molecular transducer activity GO:0060089,1.0
WBGene00013338,molecular transducer activity GO:0060089,1.0
WBGene00019231,molecular transducer activity GO:0060089,1.0
WBGene00015401,molecular transducer activity GO:0060089,1.0
WBGene00019367,molecular transducer activity GO:0060089,1.0
WBGene00011197,molecular transducer activity GO:0060089,1.0
WBGene00015083,molecular transducer activity GO:0060089,1.0
WBGene00015412,molecular transducer activity GO:0060089,1.0
WBGene00008637,molecular transducer activity GO:0060089,1.0
WBGene00006894,molecular transducer activity GO:0060089,1.0
WBGene00017375,molecular transducer activity GO:0060089,1.0
WBGene00014248,molecular transducer activity GO:0060089,1.0
WBGene00005036,molecular transducer activity GO:0060089,1.0
WBGene00002252,molecular transducer activity GO:0060089,1.0
WBGene00021146,molecular transducer activity GO:0060089,1.0
WBGene00006152,molecular transducer activity GO:0060089,1.0
WBGene00018246,molecular transducer activity GO:0060089,1.0
WBGene00008251,molecular transducer activity GO:0060089,1.0
WBGene00022004,molecular transducer activity GO:0060089,1.0
WBGene00017948,molecular transducer activity GO:0060089,1.0
WBGene00002195,molecular transducer activity GO:0060089,1.0
WBGene00019616,molecular transducer activity GO:0060089,1.0
WBGene00015050,molecular transducer activity GO:0060089,1.0
WBGene00005717,molecular transducer activity GO:0060089,1.0
WBGene00001133,molecular transducer activity GO:0060089,1.0
WBGene00015080,molecular transducer activity GO:0060089,1.0
WBGene00019025,molecular transducer activity GO:0060089,1.0
WBGene00006183,molecular transducer activity GO:0060089,1.0
WBGene00015079,molecular transducer activity GO:0060089,1.0
WBGene00005057,molecular transducer activity GO:0060089,1.0
