,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15
ADE:390_510,0.38499769963596064,0.07882083104140584,0.032934831949689165,0.002011783140555771,0.006408602533192172,0.0020887857687689818,0.00031251000241643045,0.4899109683954831,0.00011340758922769023,0.00017987732141704876,6.616294881002307e-05,3.425747735913096e-05,0.0,0.0020738556443079875,4.642655140610583e-05,0.0
ADEsh:390_510,0.2580194368667087,0.08235080102034674,0.042350082753703715,0.003104564727353532,0.010672585292633461,0.0038186482833937364,0.00018181124401537988,0.5972948282557119,2.683297260159647e-05,3.356672237994387e-05,0.0,6.856181592499174e-05,0.0,0.002078280045226312,0.0,0.0
ADF:390_510,0.3663352438596184,0.07406815562129672,0.05014622910772984,0.0017881940135577247,0.00556089685558594,0.009863649697878618,0.00012674003076751565,0.48995254674225225,1.159579735754156e-05,4.709521207492756e-05,6.113222992879367e-05,4.31282287684002e-05,0.0,0.00199539260318327,0.0,0.0
ADF:510_650,0.3265911029377103,0.07157243996124545,0.10076109378750374,0.003654512704305362,0.005831129331069454,0.04826865526619612,0.00028757497656232994,0.43974680199194144,2.485852559236783e-05,0.00016359179082778164,0.00032109788451884256,4.734466077550553e-05,0.0002337320290137158,0.0024960641527373823,0.0,0.0
ADF_AWB_terminal_cells_but_undifferentiated,0.3885070581120528,0.08939372798839647,0.020459865315249355,0.0012917462494843764,0.008512505369178422,0.0008521732852395555,0.00036707131039590566,0.48916267586467604,1.57171417434711e-05,6.226016148704036e-05,1.1458303335562802e-05,1.57171417434711e-05,0.0,0.0013338276289910891,0.0,1.4196128026360993e-05
ADF:gt_650,0.32284997352745615,0.08207988928760594,0.11411172015747652,0.005123977193568023,0.008526473019295319,0.09035457994026747,0.0002189228131201118,0.37186533330839816,6.983975843262254e-05,0.0006617343525923071,9.984655328113207e-05,0.0,0.00014792081967575122,0.0038219570072363916,6.783226159416592e-05,0.0
ADL:330_390,0.38930542570379323,0.08962259095066862,0.016076473975077766,0.0009821545759424002,0.008026305118913205,0.0010916648617187435,0.00026199552211126937,0.4932543484077326,1.001063554188177e-05,5.197441079320433e-05,1.5167629608911772e-05,0.0,5.96593431283863e-06,0.0012889451641653225,0.0,6.977109620099416e-06
ADL:390_510,0.36291456611609946,0.07997230074322428,0.04613566447171898,0.0025260201309040666,0.0062865340071274626,0.011676522999018916,0.00022186101550054132,0.48793891116599997,2.750510310672162e-05,6.765041903822338e-05,6.542574158106209e-05,6.0875264964141234e-05,1.1224508988404778e-05,0.002088163158653682,6.775154074082164e-06,0.0
ADL:510_650,0.33825218096812143,0.07208840450932587,0.08548283313266775,0.002816194648610286,0.005953000350385709,0.06122665077601085,0.00026106174186410074,0.4304140892451098,1.270249814441907e-05,0.0001405404394698526,0.00015253159771818419,3.4855654908285925e-05,0.00013789831985581343,0.002998094422038367,1.1787918278020898e-05,1.7173777491254585e-05
ADL:gt_650,0.3152028402844088,0.07766581609048029,0.10913171600141466,0.004225377025895286,0.007301315719382044,0.14026910271522852,0.0005788089663551567,0.33498019360909426,0.000313483181565962,0.00284997723514991,0.00013332748491911753,7.269619768212621e-05,7.964885793864461e-05,0.005309378555889522,0.0018863180745957054,0.0
AFD:270_330,0.45321347541963475,0.10460240806853766,0.008710570995278099,0.0008941317974129216,0.009180528054723434,0.00032322930753779923,0.0012246006257189176,0.4206059601241078,0.00011073407822903785,5.0370750133650725e-05,4.404891509663384e-05,0.0,5.230808667725268e-05,0.0009093245945180104,0.0,7.83091823940157e-05
AFD:330_390,0.4173229187108346,0.09458214580945999,0.01856055329546136,0.0007997039112791298,0.010306266770650207,0.0008084482897114252,0.0003805838194428204,0.45535364401635403,3.0300288056094173e-05,8.449509857253106e-05,3.131707624589599e-05,3.79261994796078e-05,1.1184670087819996e-05,0.0016905120443645024,0.0,0.0
AFD:390_510,0.3722079990015421,0.07951688996692607,0.03342610942820749,0.001980091207167361,0.007864996914487877,0.004809870865301592,0.0002438023624459118,0.4977971115691002,5.710134795889192e-06,9.798999176516988e-05,7.504748588882938e-05,2.100513871344953e-05,1.845597139385614e-05,0.0019083066554476114,2.6613306816554985e-05,0.0
AFD:510_650,0.3333712449780223,0.07259648912375329,0.0679006720339645,0.0029254417105408254,0.0073759701197862034,0.06289165113290482,0.00016372943059934035,0.44800801459635653,7.483901212096713e-05,0.00018093731229790286,0.00020181077826361476,4.5107050842977466e-05,0.00014988166781233143,0.004071242259380612,4.2968793353806985e-05,0.0
