,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13
ADA_ADE_grandparent,0.19706008102489872,0.03643364599588829,0.0018973238883441682,0.0012808852141945226,0.678358008585453,0.0003012642074134534,7.76595872445409e-05,0.07674761376780619,0.007678081708941558,1.4124293785310734e-05,2.9712758321553913e-05,7.755746641700813e-05,2.9421618250962688e-05,0.0
ADE,0.15830331610224377,0.04140948582999977,0.0022659742141164637,0.021446470063197755,0.48697477741744427,0.00409843267194386,0.0001174589853547488,0.12089700141569873,0.1638492470377524,0.00021421750775533533,6.192725580090392e-05,0.00012111192687719511,3.91151923155008e-05,2.1551704936757013e-05
ADEsh,0.13656750190504616,0.06253050794697401,0.003208849724106369,0.02350216898333174,0.45492899371833617,0.003021114031328245,5.968207821535774e-05,0.11055368596989493,0.20530776539701268,0.00010481691198040886,1.7942047187584103e-05,0.00011401346441679682,4.097717524773729e-05,0.0
ADF,0.14521411492037892,0.04666407483331419,0.0022060423994101405,0.04071513601389377,0.3906731324446632,0.020218687762355317,3.363071916832611e-05,0.12456322314705857,0.22927267526166759,0.00016300395299380683,0.00010039067638990095,6.809169402006114e-05,5.188775815616286e-05,3.11231434956166e-05
ADF_AWB,0.18950161155034617,0.042580305382291544,0.0016778904078326917,0.00814824924671935,0.5449288625179614,0.0015463402178605078,7.74013467324885e-05,0.09036112471362447,0.12100842323172023,5.299009011180041e-05,1.3320545609548167e-05,9.322560110528254e-05,1.0255148084338338e-05,0.0
ADL,0.1617569563313385,0.04544784352266688,0.0026321617927956478,0.04088199127562437,0.4108200736889271,0.03462426399135709,0.00010663171453125323,0.11459678474503411,0.18792818488104124,0.00010672208938294939,0.0005033583767439069,0.0001163088260177104,3.1350781848239806e-05,0.0004134540414170818
ADL_parent,0.20305166423134374,0.03004743893957685,0.0012079769703002999,0.001073255105685173,0.6818162449843409,0.00010826353957602442,4.040443543572378e-05,0.06887436238139041,0.013674944326772895,4.015907739160307e-05,1.1481044213727955e-05,3.429084118320936e-05,0.0,1.9514122789481087e-05
AFD,0.1647865612538089,0.04834632143193533,0.0022833091488435727,0.029091265799545424,0.45112301393024706,0.021252270000930194,0.00012011532842521305,0.11430900374191623,0.16818995006358825,0.00015161535109577273,0.0001574749604456127,9.511653235880781e-05,1.4422354091355095e-05,4.432167239015091e-05
AIA,0.1451983493007962,0.03631025273234822,0.0023139392160972405,0.03387929500683697,0.4731620786664142,0.003906270507475504,7.05863253929601e-05,0.11520311933494327,0.18957037032421797,5.7547044890742534e-05,7.532357280635982e-05,0.000167829961468069,1.412748643761302e-05,1.7852729822804632e-05
AIB,0.167575391955223,0.042175604880761504,0.0028396241989168494,0.022659166730757584,0.48489316695639445,0.00185148947534487,0.00017283018795912397,0.14461741398054864,0.13300395383687066,4.357240635945432e-05,5.4834144116290256e-05,9.47444352203845e-05,7.111111111111111e-06,0.0
