wbid,term,found
WBGene00017605,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004806,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00008683,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00020423,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004698,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00007534,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00001808,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00003079,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00006698,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00001840,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00001999,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004701,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004916,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00009141,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004703,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00003078,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00010896,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004896,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00008380,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00022794,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00004700,RNA splicing via transesterification reactions GO:0000375,1.0
WBGene00006773,negative regulation of metabolic process GO:0009892,1.0
WBGene00018132,negative regulation of metabolic process GO:0009892,1.0
WBGene00006474,negative regulation of metabolic process GO:0009892,1.0
WBGene00001898,negative regulation of metabolic process GO:0009892,1.0
WBGene00010260,negative regulation of metabolic process GO:0009892,1.0
WBGene00004786,negative regulation of metabolic process GO:0009892,1.0
WBGene00003036,negative regulation of metabolic process GO:0009892,1.0
WBGene00011967,negative regulation of metabolic process GO:0009892,1.0
WBGene00045383,negative regulation of metabolic process GO:0009892,1.0
WBGene00001855,negative regulation of metabolic process GO:0009892,1.0
WBGene00004046,negative regulation of metabolic process GO:0009892,1.0
WBGene00006331,negative regulation of metabolic process GO:0009892,1.0
WBGene00018150,negative regulation of metabolic process GO:0009892,1.0
WBGene00006543,negative regulation of metabolic process GO:0009892,1.0
WBGene00022554,negative regulation of metabolic process GO:0009892,1.0
WBGene00016603,negative regulation of metabolic process GO:0009892,1.0
WBGene00003025,negative regulation of metabolic process GO:0009892,1.0
WBGene00021468,negative regulation of metabolic process GO:0009892,1.0
WBGene00000468,negative regulation of metabolic process GO:0009892,1.0
WBGene00001996,negative regulation of metabolic process GO:0009892,1.0
WBGene00004888,negative regulation of metabolic process GO:0009892,1.0
WBGene00017742,negative regulation of metabolic process GO:0009892,1.0
WBGene00003020,negative regulation of metabolic process GO:0009892,1.0
WBGene00001854,negative regulation of metabolic process GO:0009892,1.0
WBGene00009141,negative regulation of metabolic process GO:0009892,1.0
WBGene00001834,negative regulation of metabolic process GO:0009892,1.0
WBGene00019698,negative regulation of metabolic process GO:0009892,1.0
WBGene00004679,negative regulation of metabolic process GO:0009892,1.0
WBGene00019467,negative regulation of metabolic process GO:0009892,1.0
WBGene00000223,negative regulation of metabolic process GO:0009892,1.0
WBGene00000534,negative regulation of metabolic process GO:0009892,1.0
WBGene00020320,negative regulation of metabolic process GO:0009892,1.0
WBGene00018305,negative regulation of metabolic process GO:0009892,1.0
WBGene00004800,negative regulation of metabolic process GO:0009892,1.0
WBGene00019947,negative regulation of metabolic process GO:0009892,1.0
WBGene00002637,negative regulation of metabolic process GO:0009892,1.0
WBGene00011636,negative regulation of metabolic process GO:0009892,1.0
WBGene00018892,negative regulation of metabolic process GO:0009892,1.0
WBGene00001853,negative regulation of metabolic process GO:0009892,1.0
WBGene00003014,negative regulation of metabolic process GO:0009892,1.0
WBGene00006773,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00004806,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00001820,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00016173,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00007784,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00001898,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00007256,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00022850,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00007018,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00002295,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00022774,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00004786,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00011111,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00003036,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00008999,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00007534,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00009743,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00045383,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00020936,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00001855,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00006391,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00004046,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00000408,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00002027,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00006543,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00022554,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00001971,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00016603,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00003025,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00000506,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00003040,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00004204,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
WBGene00000468,regulation of nucleobase-containing compound metabolic process GO:0019219,1.0
