,ward_cluster0,ward_cluster1,ward_cluster2,ward_cluster3,ward_cluster4,ward_cluster5,ward_cluster6,ward_cluster7,ward_cluster8,ward_cluster9,ward_cluster10,ward_cluster11,ward_cluster12,ward_cluster13,ward_cluster14,ward_cluster15
ADE:390_510,0.12124549552520653,0.2855645023815083,0.0023779802343559136,0.06077920728606436,0.003509397337345242,0.08285482795741479,0.0,0.26074306820397863,7.393479441985576e-05,7.096922175294594e-05,0.007229963900799755,0.011724544930317734,4.704011816477683e-05,0.15789772394343038,0.005791456635095589,8.988753014530182e-05
ADEsh:390_510,0.10658842321494924,0.25273211694605263,0.0021272527708870205,0.03908809111865336,0.0037107042339165923,0.3189459967551488,0.0,0.11019404014171892,0.00012222776112818466,0.0001299817760244635,0.009777914810719395,0.05304276726916042,1.2345207926970239e-05,0.09673908984597468,0.006764969890956105,2.4078256783181624e-05
ADF:390_510,0.11013271288358184,0.2718703858389681,0.0019264281241621016,0.026091561229675316,0.0007816991464272534,0.12658664074632994,2.0038351573997257e-05,0.2754461635609595,1.7190260994951962e-05,4.475570909928321e-05,0.027871516124057936,0.01925390605451164,3.4380521989903924e-05,0.13390145281100435,0.006006928183768569,1.4240452895226476e-05
ADF:510_650,0.10550804070155502,0.2384244109483548,0.0049588116923364465,0.011946532921610131,0.0028045780533463953,0.08758793187691254,0.00011088346477923408,0.30586208386853936,8.880991923248424e-05,1.5162669137253408e-05,0.08792470816761412,0.057531086308285115,0.00013625772741708678,0.08803858290725715,0.008955051762980042,0.0001070670106426465
ADF_AWB_terminal_cells_but_undifferentiated,0.11626699834229785,0.3199703828209004,0.0018165973828018372,0.05096602623201097,0.0011954153807340695,0.13936450424484506,0.0,0.16038126338238567,0.00010484854556612332,4.390659596724506e-05,0.0037245569895447547,0.0051760096793256926,1.2979317052672908e-05,0.19511351021168047,0.005838664655413328,2.43362194737617e-05
ADF:gt_650,0.12187840845228015,0.2378844660211613,0.0077187196861373784,0.016655461664576227,0.003956881926326345,0.08547678525373123,7.15302820860597e-05,0.21360981425054384,0.00019948179110558447,0.00038660162799540983,0.12240458393941248,0.06026188535861765,0.00019990442201894381,0.1161501747103367,0.01307514388205301,7.015673161764201e-05
ADL:330_390,0.12324669785535786,0.3376840162103536,0.003102892547860444,0.06282189501937513,0.0010910581565343868,0.1125230826043265,0.0,0.12179606575956152,0.0001028365287484218,5.4906819184260606e-05,0.003811220850596624,0.0063410803518323825,2.2751444413367654e-05,0.22235269754270245,0.005031810563991117,1.698774516198118e-05
ADL:390_510,0.13453170640648454,0.2870471997681481,0.006385835519078935,0.036643168005416886,0.0029395067728282755,0.11940936026972797,1.6078350713120354e-05,0.1844151434198996,8.6762420829291e-05,5.248216364848721e-05,0.028099597596296683,0.05074944327446634,5.2684407053683694e-05,0.139061149709265,0.010433029422168344,7.685249397466335e-05
ADL:510_650,0.1369444130551601,0.2379707342572351,0.004945743057525854,0.015111806372467325,0.003066891151988541,0.09398070277129894,5.893959139010448e-06,0.20274670690276106,6.6865950232222e-05,2.286449665995433e-05,0.08902002157595526,0.08156589080485467,0.00013332542052382255,0.09833847259471593,0.03606005497234717,1.9612657134983047e-05
ADL:gt_650,0.14177476264077984,0.21794340514102192,0.007269415278205077,0.012649445131701277,0.004110146906643871,0.08914496490900349,7.054905260290729e-05,0.17986777471622156,0.00014569913037556942,0.0002649168047741055,0.12983367089521328,0.0527960481079102,0.000580138151404197,0.08030833821297613,0.08294370318520793,0.00029702173595861687
